,HH_ID,F2,Fuel_roster_name,F3,F3_oth,F_4,F_4oth,F_5,F_6,F_7,F_8,F_9,F_10,F_4_text,F_11,F_12,F_13_1,F_13oth,F_14__1,F_14__2,F_14__3,F_14__4,F_14__5,F_14__6,F_14__7,F_14__8,F_14__111
173,1001500921507.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
174,1001500921507.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
175,1001500921603.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
176,1001500921603.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
177,1001500921603.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
178,1001500921603.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
179,1001500921603.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
180,1001500921606.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
181,1001500921606.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
182,1001500921606.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
183,1001500921606.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
184,1001500921606.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
185,1001500922001.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
186,1001500922001.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
187,1001500922001.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
188,1001500922001.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
189,1001500922001.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
190,1001500922101.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
191,1001500922101.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
192,1001500922101.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
193,1001500922101.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
194,1001500922101.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
195,1001500922103.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
196,1001500922103.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
197,1001500922103.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
198,1001500922103.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
199,1001500922103.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
200,1001500922202.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
201,1001500922202.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
202,1001500922202.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
203,1001500922202.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
204,1001500922202.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
205,1001500922702.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
206,1001500922702.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
207,1001500922702.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
208,1001500922702.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
209,1001500922702.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
210,1002500360201.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
211,1002500360201.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
212,1002500360201.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
213,1002500360201.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
214,1002500360201.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
215,1002500360406.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
216,1002500360406.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
217,1002500360406.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
218,1002500360406.0,Pressurized mantle lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
219,1002500360406.0,"Other, specify",,No,,,,,,,,,,,,,,,,,,,,,,,
220,1002500360407.0,Candle,,No,,,,,,,,,,,,,,,,,,,,,,,
221,1002500360407.0,Open wick lamp,,No,,,,,,,,,,,,,,,,,,,,,,,
222,1002500360407.0,Hurricane lamp with glass cover,,No,,,,,,,,,,,,,,,,,,,,,,,
