HHID,Id,R1_A,R2_A,R3_A,R3_A_SO,R4_A,R9_A,R10_A,R11_A,R12_A,R13_A,R14_A,R15_A,R16_A,R17_A,R18_A,R19_A,R20_A,R21_A,R22_A,R23_A,R24_A,R25_A,R26_A,R27_A,R28_A
110149114,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149114,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149114,Women (Age 15 yrs and older),No,,, ,,No,,Yes,140.0,No,,No,,No,,No,,No,,No,,No,,No,
110149115,Men(Age 15 yrs and older,No,,, ,,Yes,20.0,No,,No,,No,,No,,No,,No,,Yes,480.0,No,,Yes,120.0
110149115,Women (Age 15 yrs and older),Yes,30.0,Monthly, ,1.0,Yes,20.0,Yes,250.0,No,,No,,Yes,40.0,No,,No,,No,,No,,Yes,120.0
110149201,Women (Age 15 yrs and older),No,,, ,,Yes,15.0,Yes,300.0,No,,No,,No,,No,,No,,No,,No,,Yes,120.0
110149201,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,420.0,No,,Yes,60.0
110149202,Women (Age 15 yrs and older),No,,, ,,No,,Yes,200.0,No,,No,,No,,No,,No,,No,,No,,No,
110149202,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,420.0,No,,No,
110149203,Women (Age 15 yrs and older),No,,, ,,No,,Yes,160.0,No,,No,,No,,No,,No,,No,,No,,Yes,240.0
110149204,Women (Age 15 yrs and older),No,,, ,,No,,Yes,230.0,No,,No,,No,,No,,No,,No,,No,,No,
110149204,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,Yes,600.0,No,,Yes,120.0
110149204,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,180.0
110149205,Women (Age 15 yrs and older),No,,, ,,No,,Yes,180.0,No,,No,,No,,No,,No,,No,,No,,Yes,120.0
110149205,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,80.0
110149206,Girls(Under age 15 yrs),No,,, ,,No,,No,,Yes,30.0,No,,No,,No,,No,,No,,No,,Yes,120.0
110149206,Women (Age 15 yrs and older),No,,, ,,No,,Yes,150.0,No,,No,,No,,No,,No,,No,,No,,Yes,60.0
110149207,Women (Age 15 yrs and older),No,,, ,,No,,Yes,130.0,No,,No,,No,,No,,No,,No,,No,,Yes,120.0
110149207,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,60.0
110149208,Women (Age 15 yrs and older),No,,, ,,No,,Yes,80.0,No,,No,,No,,No,,No,,No,,No,,Yes,180.0
110149209,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,500.0,No,,No,,Yes,120.0
110149209,Men(Age 15 yrs and older,No,,, ,,Yes,18.0,No,,No,,No,,No,,No,,No,,Yes,480.0,No,,Yes,50.0
110149209,Women (Age 15 yrs and older),Yes,20.0,Monthly, ,1.0,Yes,10.0,Yes,190.0,No,,No,,Yes,30.0,No,,No,,No,,No,,Yes,60.0
110149209,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,480.0,No,,No,,Yes,240.0
110149210,Women (Age 15 yrs and older),No,,, ,,No,,Yes,100.0,No,,No,,No,,No,,No,,Yes,360.0,No,,Yes,60.0
110149210,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,90.0
110149211,Women (Age 15 yrs and older),No,,, ,,No,,Yes,150.0,No,,No,,Yes,60.0,No,,No,,No,,Yes,240.0,Yes,120.0
110149211,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,Yes,560.0,No,,No,,Yes,120.0
110149212,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,180.0
110149212,Women (Age 15 yrs and older),No,,, ,,No,,Yes,150.0,No,,No,,No,,No,,No,,No,,No,,No,
110149212,Men(Age 15 yrs and older,No,,, ,,No,,No,,Yes,30.0,No,,No,,No,,No,,Yes,360.0,No,,No,
110149213,Women (Age 15 yrs and older),No,,, ,,No,,Yes,190.0,No,,No,,No,,No,,No,,No,,No,,Yes,120.0
110149213,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,120.0
110149214,Women (Age 15 yrs and older),No,,, ,,No,,Yes,170.0,Yes,30.0,No,,No,,Yes,300.0,No,,No,,No,,Yes,120.0
110149214,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,480.0,Yes,180.0
110149214,Boys(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,
110149215,Women (Age 15 yrs and older),No,,, ,,No,,Yes,170.0,No,,No,,No,,No,,No,,No,,No,,Yes,120.0
110149215,Men(Age 15 yrs and older,No,,, ,,No,,No,,No,,No,,No,,No,,Yes,480.0,No,,No,,Yes,128.0
110941201,Women (Age 15 yrs and older),Yes,180.0,Monthly, ,1.0,Yes,60.0,Yes,250.0,Yes,30.0,No,,Yes,120.0,Yes,260.0,No,,Yes,440.0,No,,Yes,120.0
110941201,Girls(Under age 15 yrs),No,,, ,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,40.0
110941201,Men(Age 15 yrs and older,Yes,18.0,Monthly, ,1.0,Yes,90.0,No,,No,,No,,No,,Yes,120.0,No,,Yes,340.0,No,,Yes,30.0
110941202,Women (Age 15 yrs and older),Yes,250.0,Monthly, ,1.0,Yes,120.0,Yes,130.0,Yes,30.0,No,,No,,No,,No,,No,,Yes,580.0,Yes,60.0
110941203,Women (Age 15 yrs and older),Yes,180.0,Bi-Weekly, ,2.0,Yes,90.0,Yes,250.0,Yes,20.0,No,,Yes,120.0,Yes,60.0,No,,No,,No,,Yes,120.0
110941203,Men(Age 15 yrs and older,Yes,180.0,Bi-Weekly, ,2.0,Yes,100.0,No,,No,,No,,No,,Yes,20.0,No,,No,,Yes,780.0,Yes,20.0
