HHID,Id,C141,C41_Recode,C142,C142_B,C143,C144,C145,C146,C148,C149,C150,C151,C152,C153,C153_SO,C154_FULL,C154_PARTIAL,C155,C156,C157,C158,C159,C160,C160_SO,C160_SO_RECODE
111145204,Solar lantern,Nisa Max,NISA MAX,No,No,Yes,Solar Lantern,,,,No,2.0,0.0,Received for free,Local private organizations (NGO), ,,,,,,No,1.0,No problems, , 
111145205,Solar lantern,Nisa Max,NISA MAX,Yes,No,Yes,Solar Lantern,,,,No,2.0,0.0,Received for free,Local private organizations (NGO), ,,,,,,No,1.0,No problems, , 
111145206,Solar lantern,Nisa Max,NISA MAX,Yes,No,Yes,Solar Lantern,,,,No,2.0,0.0,Received for free,Local private organizations (NGO), ,,,,,,No,888.0,Breaks too often, , 
111145207,Solar lantern,Nisa Max,NISA MAX,Yes,Yes,No,Solar Lantern,,,,No,1.6,0.0,Received for free,Local private organizations (NGO), ,,,,,,No,2.0,Duration of service too short, , 
111145208,Solar lantern,Nisa Max,NISA MAX,Yes,Yes,No,Solar Lantern,,,,No,1.0,0.0,Received for free,Local private organizations (NGO), ,,,,,,No,2.0,Duration of service too short, , 
111145209,Solar lantern,888,888,Yes,Yes,Yes,Solar Lantern,,,,No,1.6,0.0,Received for free,Local private organizations (NGO), ,,,,,,No,1.0,Duration of service too short, , 
111145210,Solar lantern,Nisa Max,NISA MAX,Yes,Yes,No,Solar Lantern,,,,No,1.6,0.0,Received for free,Local private organizations (NGO), ,,,,,,No,3.0,Duration of service too short, , 
111145211,Solar lantern,Nisamax,NISAMAX,Yes,No,Yes,Solar Lantern,,,,No,2.0,0.0,Received for free,Local private organizations (NGO), ,,,,,,No,1.0,Breaks too often, , 
111145212,Solar lantern,Nisamax,NISAMAX,Yes,No,Yes,Solar Lantern,,,,No,2.0,0.0,Received for free,Local private organizations (NGO), ,,,,,,No,1.0,Breaks too often, , 
111145213,Solar lantern,Nisamax,NISAMAX,Yes,No,Yes,Solar Lantern,,,,No,2.0,1.0,Received for free,Local private organizations (NGO), ,,,,,,No,2.0,Cannot power large appliances, , 
111145214,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145215,Solar lantern,Nisamax,NISAMAX,Yes,No,Yes,Solar Lantern,,,,No,2.0,0.0,Received for free,Local private organizations (NGO), ,,,,,,No,1.0,Breaks too often, , 
111145301,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145302,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145303,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145304,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145305,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145306,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145307,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145308,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145309,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145310,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145311,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145312,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145313,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145314,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145315,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145401,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145402,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145403,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145404,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145405,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145406,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145407,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145408,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145409,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145410,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145411,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145412,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145413,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145414,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145415,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145501,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145502,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145503,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145504,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145505,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145506,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145507,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145508,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145509,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145510,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145511,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145512,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145513,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145514,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145515,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145601,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145602,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145603,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145604,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145605,Solar lighting system,German,GERMAN,Yes,Yes,No,Solar lighting system,4.0,33.0,75.0,No,5.0,0.0,Received for free,Local private organizations (NGO), ,,,,,,No,1.0,No problems, , 
111145606,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145607,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145608,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145609,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145610,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145611,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145612,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145613,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145614,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145615,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145701,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145702,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145703,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145704,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145705,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145706,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145707,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145708,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145709,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145710,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145711,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145712,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145713,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145714,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145715,None, , ,,,,,,,,,,,,, ,,,,,,,,, , 
111145801,Solar lighting system,Scientific Technology Solar,SCIENTIFIC TECHNOLOGY SOLAR,Yes,Yes,Yes,Solar lighting system,4.0,100.0,80.0,No,10.0,0.0,"Bought, fully paid",, ,29000.0,,,,No,No,4.0,Quality of light, , 
