,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,a8,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,D1_a,D1_b,D2,D3,D4
136,04390300601,4,39,3,6,1,2,1,3971.0,0,0,15,3,38,1,0,0,40,1,30000.0,30,1,2,6.0,1,6
137,04390302201,4,39,3,22,1,2,1,1700.0,0,0,12,2,17,1,0,0,9,1,10000.0,25,3,2,48.0,3,6
138,04391000302,4,39,10,3,2,2,1,4858.0,0,0,20,3,48,0,0,150,250,1,3500.0,15,2,2,20.0,4,6
139,05400100401,5,40,1,4,1,2,6,127.0,0,0,2,3,2,0,0,15,21,2,-111.0,97,1,1,21.0,4,1
140,05400101101,5,40,1,11,1,2,8,216.0,8,1,26,5,0,1,0,46,7,2,4500.0,63,2,3,7.0,1,1
141,05400101201,5,40,1,12,1,2,7,154.0,2,1,3,3,0,0,0,45,17,2,9500.0,56,2,2,76.0,4,1
142,05400300103,5,40,3,1,3,1,3,178.0,0,2,21,4,0,0,0,20,32,4,-111.0,93,2,3,97.0,1,1
143,05400301101,5,40,3,11,1,2,1,120.0,0,0,0,0,0,0,0,0,0,1,-111.0,20,2,3,5.0,1,7
144,05400401501,5,40,4,15,1,2,2,320.0,0,3,0,0,0,0,0,0,0,1,-111.0,10,1,3,7.0,1,7
145,05410415801,5,41,4,158,1,2,1,195.0,25,2,19,12,16,2,0,2,1,4,-111.0,65,2,2,24.0,1,1
146,05410603406,5,41,6,34,6,2,4,173.0,0,0,29,10,2,0,0,12,25,2,10000.0,50,2,2,15.0,1,10
147,05410700901,5,41,7,9,1,2,2,210.0,4,2,45,6,26,0,1,9,12,4,15000.0,70,2,2,17.0,1,10
148,05420299912,5,42,2,999,12,1,5,199.0,2,2,5,3,6,0,0,12,8,4,12000.0,68,1,1,0.5,1,10
149,06460301303,6,46,3,13,3,2,13,250.0,0,0,0,0,0,0,0,0,5,1,-111.0,4,3,3,7.0,3,3
150,06460500108,6,46,5,1,8,1,5,350.0,0,0,0,2,0,0,0,50,20,1,1000.0,70,2,2,1.0,3,1
151,06460701104,6,46,7,11,4,2,12,1010.0,0,0,0,0,0,0,0,0,15,1,-111.0,1,2,2,55.0,3,3
152,06460701302,6,46,7,13,2,2,11,1345.0,0,0,0,0,0,0,0,0,14,1,-111.0,1,2,2,9.0,3,3
153,06470300204,6,47,3,2,4,1,2,2500.0,0,8,35,6,0,25,85,120,30,4,-777.0,95,1,1,1.0,3,1
154,06470300314,6,47,3,3,14,1,3,3900.0,0,0,10,1,0,1,0,2000,300,4,-777.0,85,1,1,2.0,1,1
155,06470301201,6,47,3,12,1,2,1,2200.0,0,0,25,1,21,0,0,0,0,1,10000.0,1,3,3,31.0,3,3
156,06470305101,6,47,3,51,1,2,1,1037.0,0,0,5,3,15,0,0,0,15,1,10000.0,50,1,2,20.0,1,1
157,06480200101,6,48,2,1,1,1,1,350.0,0,0,0,3,0,0,0,50,30,9,2000.0,25,2,2,2.0,4,3
158,06480201401,6,48,2,14,1,2,1,2145.0,0,0,3,2,15,0,0,0,0,1,5000.0,1,3,3,56.0,4,3
159,06490800103,6,49,8,1,3,1,4,1800.0,0,0,2,0,0,0,0,200,60,4,-777.0,50,2,2,1.0,3,1
160,07500600204,7,50,6,2,4,2,2,600.0,0,0,0,2,0,0,0,12,20,1,3000.0,25,2,3,15.0,4,7
161,07500601802,7,50,6,18,2,2,1,900.0,0,0,20,3,0,0,0,50,80,1,4000.0,10,1,2,3.0,1,2
162,07500901704,7,50,9,17,4,2,3,880.0,0,0,5,2,0,0,0,20,30,1,-111.0,5,2,2,3.0,1,3
163,07501400105,7,50,14,1,5,1,1,1210.0,0,0,50,5,0,0,20,150,50,4,-111.0,1,1,1,2.0,1,1
164,07510100104,7,51,1,1,4,1,1,512.0,0,0,20,4,0,0,10,50,15,1,-111.0,40,1,1,3.5,2,1
165,07511000702,7,51,10,7,2,2,4,2200.0,0,0,100,20,0,0,0,0,4,1,-111.0,10,1,1,5.0,2,7
166,07511100128,7,51,11,1,28,1,1,850.0,0,0,70,5,0,0,20,40,10,4,-111.0,95,1,1,3.0,2,1
167,07511100224,7,51,11,2,24,1,1,750.0,0,0,50,4,0,0,15,80,20,4,-111.0,93,1,1,3.0,1,1
168,07520100101,7,52,1,1,1,1,1,1250.0,0,0,60,8,4,0,20,150,30,1,-111.0,60,1,1,3.5,2,1
169,07520301304,7,52,3,13,4,2,18,1224.0,0,0,1,9,0,0,0,10,20,1,-111.0,14,2,2,4.0,1,7
170,07520500901,7,52,5,9,1,2,17,593.0,0,0,0,7,0,0,0,8,39,1,-111.0,30,2,2,6.0,1,7
