,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,A8,Item,KH_a,KH_b,KH_86,KH_87,KH_88
112,01020801604,1,2,8,16,4,2,12,13,1,3.0,,,1.0
113,01020801604,1,2,8,16,4,2,12,14,1,1.0,,,1.0
114,01020801604,1,2,8,16,4,2,12,15,1,4.0,,,1.0
115,01020801604,1,2,8,16,4,2,12,16,2,,1.0,1.0,
116,01020801604,1,2,8,16,4,2,12,17,2,,1.0,1.0,
117,01020801604,1,2,8,16,4,2,12,18,2,,2.0,1.0,
118,01020801604,1,2,8,16,4,2,12,19,1,1.0,,,1.0
119,01020801604,1,2,8,16,4,2,12,20,2,,1.0,1.0,
120,01020901705,1,2,9,17,5,2,11,1,2,,1.0,3.0,
121,01020901705,1,2,9,17,5,2,11,2,2,,1.0,3.0,
122,01020901705,1,2,9,17,5,2,11,3,2,,1.0,3.0,
123,01020901705,1,2,9,17,5,2,11,4,2,,1.0,3.0,
124,01020901705,1,2,9,17,5,2,11,5,2,,1.0,3.0,
125,01020901705,1,2,9,17,5,2,11,6,2,,1.0,3.0,
126,01020901705,1,2,9,17,5,2,11,7,2,,1.0,3.0,
127,01020901705,1,2,9,17,5,2,11,8,2,,1.0,1.0,
128,01020901705,1,2,9,17,5,2,11,9,2,,1.0,3.0,
129,01020901705,1,2,9,17,5,2,11,10,2,,1.0,1.0,
130,01020901705,1,2,9,17,5,2,11,11,2,,1.0,3.0,
131,01020901705,1,2,9,17,5,2,11,12,2,,1.0,3.0,
132,01020901705,1,2,9,17,5,2,11,13,2,,1.0,3.0,
133,01020901705,1,2,9,17,5,2,11,14,2,,1.0,3.0,
134,01020901705,1,2,9,17,5,2,11,15,1,1.0,,,2.0
135,01020901705,1,2,9,17,5,2,11,16,2,,1.0,3.0,
136,01020901705,1,2,9,17,5,2,11,17,2,,1.0,1.0,
137,01020901705,1,2,9,17,5,2,11,18,2,,1.0,3.0,
138,01020901705,1,2,9,17,5,2,11,19,2,,1.0,1.0,
139,01020901705,1,2,9,17,5,2,11,20,2,,1.0,1.0,
140,01021200418,1,2,12,4,18,1,1,1,1,20.0,,,
141,01021200418,1,2,12,4,18,1,1,2,1,2.0,,,
142,01021200418,1,2,12,4,18,1,1,3,1,3.0,,,
143,01021200418,1,2,12,4,18,1,1,4,2,,2.0,2.0,
144,01021200418,1,2,12,4,18,1,1,5,2,,1.0,1.0,
145,01021200418,1,2,12,4,18,1,1,6,2,,1.0,1.0,
146,01021200418,1,2,12,4,18,1,1,7,1,1.0,,,
147,01021200418,1,2,12,4,18,1,1,8,2,,1.0,1.0,
148,01021200418,1,2,12,4,18,1,1,9,1,3.0,,,
149,01021200418,1,2,12,4,18,1,1,10,2,,1.0,1.0,
150,01021200418,1,2,12,4,18,1,1,11,1,2.0,,,1.0
151,01021200418,1,2,12,4,18,1,1,12,1,1.0,,,1.0
152,01021200418,1,2,12,4,18,1,1,13,1,3.0,,,1.0
153,01021200418,1,2,12,4,18,1,1,14,2,,1.0,1.0,
154,01021200418,1,2,12,4,18,1,1,15,1,4.0,,,1.0
155,01021200418,1,2,12,4,18,1,1,16,2,,1.0,1.0,
156,01021200418,1,2,12,4,18,1,1,17,2,,1.0,1.0,
157,01021200418,1,2,12,4,18,1,1,18,2,,1.0,1.0,
158,01021200418,1,2,12,4,18,1,1,19,1,1.0,,,1.0
159,01021200418,1,2,12,4,18,1,1,20,1,1.0,,,1.0
160,01030300103,1,3,3,1,3,1,1,1,1,15.0,,,
161,01030300103,1,3,3,1,3,1,1,2,1,1.0,,,
162,01030300103,1,3,3,1,3,1,1,3,1,4.0,,,
163,01030300103,1,3,3,1,3,1,1,4,2,,1.0,1.0,
164,01030300103,1,3,3,1,3,1,1,5,2,,2.0,2.0,
165,01030300103,1,3,3,1,3,1,1,6,2,,2.0,2.0,
166,01030300103,1,3,3,1,3,1,1,7,2,,1.0,2.0,
167,01030300103,1,3,3,1,3,1,1,8,2,,2.0,2.0,
168,01030300103,1,3,3,1,3,1,1,9,1,9.0,,,
169,01030300103,1,3,3,1,3,1,1,10,2,,1.0,2.0,
170,01030300103,1,3,3,1,3,1,1,11,2,,1.0,2.0,
171,01030300103,1,3,3,1,3,1,1,12,2,,1.0,2.0,
172,01030300103,1,3,3,1,3,1,1,13,1,2.0,,,1.0
173,01030300103,1,3,3,1,3,1,1,14,2,,1.0,2.0,
174,01030300103,1,3,3,1,3,1,1,15,1,2.0,,,1.0
175,01030300103,1,3,3,1,3,1,1,16,1,1.0,,,1.0
176,01030300103,1,3,3,1,3,1,1,17,2,,1.0,1.0,
177,01030300103,1,3,3,1,3,1,1,18,2,,1.0,1.0,
178,01030300103,1,3,3,1,3,1,1,19,1,1.0,,,1.0
179,01030300103,1,3,3,1,3,1,1,20,2,,2.0,2.0,
180,01030600403,1,3,6,4,3,2,10,1,1,1.0,,,
181,01030600403,1,3,6,4,3,2,10,2,2,,1.0,1.0,
182,01030600403,1,3,6,4,3,2,10,3,2,,1.0,1.0,
183,01030600403,1,3,6,4,3,2,10,4,2,,1.0,1.0,
184,01030600403,1,3,6,4,3,2,10,5,2,,1.0,1.0,
185,01030600403,1,3,6,4,3,2,10,6,2,,1.0,1.0,
186,01030600403,1,3,6,4,3,2,10,7,2,,1.0,1.0,
187,01030600403,1,3,6,4,3,2,10,8,2,,1.0,1.0,
188,01030600403,1,3,6,4,3,2,10,9,1,1.0,,,
189,01030600403,1,3,6,4,3,2,10,10,2,,1.0,1.0,
190,01030600403,1,3,6,4,3,2,10,11,2,,1.0,1.0,
191,01030600403,1,3,6,4,3,2,10,12,2,,1.0,1.0,
192,01030600403,1,3,6,4,3,2,10,13,2,,1.0,1.0,
193,01030600403,1,3,6,4,3,2,10,14,2,,1.0,1.0,
194,01030600403,1,3,6,4,3,2,10,15,2,,1.0,1.0,
195,01030600403,1,3,6,4,3,2,10,16,2,,1.0,1.0,
196,01030600403,1,3,6,4,3,2,10,17,2,,1.0,1.0,
197,01030600403,1,3,6,4,3,2,10,18,2,,1.0,1.0,
198,01030600403,1,3,6,4,3,2,10,19,2,,1.0,1.0,
199,01030600403,1,3,6,4,3,2,10,20,2,,1.0,1.0,
