,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,a8,F2,F3
323,03111802013,3,11,18,20,13,1,5,9,2
324,03112101007,3,11,21,10,7,2,17,1,2
325,03112101007,3,11,21,10,7,2,17,2,2
326,03112101007,3,11,21,10,7,2,17,3,2
327,03112101007,3,11,21,10,7,2,17,4,2
328,03112101007,3,11,21,10,7,2,17,5,2
329,03112101007,3,11,21,10,7,2,17,6,2
330,03112101007,3,11,21,10,7,2,17,7,2
331,03112101007,3,11,21,10,7,2,17,8,2
332,03112101007,3,11,21,10,7,2,17,9,2
333,03120102608,3,12,1,26,8,2,18,1,2
334,03120102608,3,12,1,26,8,2,18,2,2
335,03120102608,3,12,1,26,8,2,18,3,2
336,03120102608,3,12,1,26,8,2,18,4,2
337,03120102608,3,12,1,26,8,2,18,5,2
338,03120102608,3,12,1,26,8,2,18,6,2
339,03120102608,3,12,1,26,8,2,18,7,1
340,03120102608,3,12,1,26,8,2,18,8,1
341,03120102608,3,12,1,26,8,2,18,9,2
342,03120200303,3,12,2,3,3,1,1,1,2
343,03120200303,3,12,2,3,3,1,1,2,2
344,03120200303,3,12,2,3,3,1,1,3,2
345,03120200303,3,12,2,3,3,1,1,4,2
346,03120200303,3,12,2,3,3,1,1,5,2
347,03120200303,3,12,2,3,3,1,1,6,2
348,03120200303,3,12,2,3,3,1,1,7,2
349,03120200303,3,12,2,3,3,1,1,8,2
350,03120200303,3,12,2,3,3,1,1,9,2
351,03120300709,3,12,3,7,9,2,19,1,2
352,03120300709,3,12,3,7,9,2,19,2,2
353,03120300709,3,12,3,7,9,2,19,3,2
354,03120300709,3,12,3,7,9,2,19,4,1
355,03120300709,3,12,3,7,9,2,19,5,1
356,03120300709,3,12,3,7,9,2,19,6,2
357,03120300709,3,12,3,7,9,2,19,7,1
358,03120300709,3,12,3,7,9,2,19,8,1
359,03120300709,3,12,3,7,9,2,19,9,2
360,03120302401,3,12,3,24,1,2,20,1,2
361,03120302401,3,12,3,24,1,2,20,2,2
362,03120302401,3,12,3,24,1,2,20,3,2
363,03120302401,3,12,3,24,1,2,20,4,2
364,03120302401,3,12,3,24,1,2,20,5,2
365,03120302401,3,12,3,24,1,2,20,6,2
366,03120302401,3,12,3,24,1,2,20,7,1
367,03120302401,3,12,3,24,1,2,20,8,2
368,03120302401,3,12,3,24,1,2,20,9,2
369,03121000302,3,12,10,3,2,1,1,1,2
370,03121000302,3,12,10,3,2,1,1,2,2
371,03121000302,3,12,10,3,2,1,1,3,2
372,03121000302,3,12,10,3,2,1,1,4,2
373,03121000302,3,12,10,3,2,1,1,5,2
374,03121000302,3,12,10,3,2,1,1,6,2
375,03121000302,3,12,10,3,2,1,1,7,2
376,03121000302,3,12,10,3,2,1,1,8,2
