,HHID,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C137_1,C138,C139,C140,C141,C142,C143
261,02070300111025,1.0,1.0,D light,1.0,,,,,,,,,,,,,,,,
262,02070300111035,,,,,,,,,,,,,,,,,,,,
263,02070300111045,,,,,,,,,,,,,,,,,,,,
264,02070300111055,,,,,,,,,,,,,,,,,,,,
265,02070300111065,,,,,,,,,,,,,,,,,,,,
266,02070300111075,,,,,,,,,,,,,,,,,,,,
267,02070300111085,,,,,,,,,,,,,,,,,,,,
268,02070300111095,,,,,,,,,,,,,,,,,,,,
269,02070300111105,1.0,4.0,Star Gold,1.0,,,,,,,,,,,,,,,,
270,02070300111115,,,,,,,,,,,,,,,,,,,,
271,02070300205006,,,,,,,,,,,,,,,,,,,,
272,02070300205011,,,,,,,,,,,,,,,,,,,,
273,02070300205016,,,,,,,,,,,,,,,,,,,,
274,02070300205021,,,,,,,,,,,,,,,,,,,,
275,02070300205026,,,,,,,,,,,,,,,,,,,,
276,02070300205031,,,,,,,,,,,,,,,,,,,,
277,02070300205036,,,,,,,,,,,,,,,,,,,,
278,02070300205041,,,,,,,,,,,,,,,,,,,,
279,02070300205046,,,,,,,,,,,,,,,,,,,,
280,02070300205051,,,,,,,,,,,,,,,,,,,,
281,02070300205056,,,,,,,,,,,,,,,,,,,,
282,02070300205061,,,,,,,,,,,,,,,,,,,,
283,02070300212007,,,,,,,,,,,,,,,,,,,,
284,02070300212015,,,,,,,,,,,,,,,,,,,,
285,02070300212023,,,,,,,,,,,,,,,,,,,,
286,02070300212031,,,,,,,,,,,,,,,,,,,,
287,02070300212039,,,,,,,,,,,,,,,,,,,,
288,02070300212047,,,,,,,,,,,,,,,,,,,,
289,02070300212055,,,,,,,,,,,,,,,,,,,,
290,02070300212063,,,,,,,,,,,,,,,,,,,,
291,02070300212071,,,,,,,,,,,,,,,,,,,,
292,02070300212079,,,,,,,,,,,,,,,,,,,,
293,02070300212087,,,,,,,,,,,,,,,,,,,,
294,02070300212095,,,,,,,,,,,,,,,,,,,,
295,02070501103003,,,,,,,,,,,,,,,,,,,,
296,02070501103013,,,,,,,,,,,,,,,,,,,,
297,02070501103023,,,,,,,,,,,,,,,,,,,,
298,02070501103033,,,,,,,,,,,,,,,,,,,,
299,02070501103041,1.0,4.0,china Ao802,2.0,1.0,1.0,1200.0,1.0,1.0,1.0,1.0,,500.0,1.0,3.0,,2.0,2.0,3.0,111.0
300,02070501103049,,,,,,,,,,,,,,,,,,,,
301,02070501103059,,,,,,,,,,,,,,,,,,,,
302,02070501103079,,,,,,,,,,,,,,,,,,,,
303,02070501103089,,,,,,,,,,,,,,,,,,,,
304,02070501103103,,,,,,,,,,,,,,,,,,,,
305,02070501103106,,,,,,,,,,,,,,,,,,,,
306,02070501103133,,,,,,,,,,,,,,,,,,,,
307,02070501302004,,,,,,,,,,,,,,,,,,,,
308,02070501302016,,,,,,,,,,,,,,,,,,,,
309,02070501302028,,,,,,,,,,,,,,,,,,,,
310,02070501302040,,,,,,,,,,,,,,,,,,,,
311,02070501302052,,,,,,,,,,,,,,,,,,,,
312,02070501302064,,,,,,,,,,,,,,,,,,,,
313,02070501302076,,,,,,,,,,,,,,,,,,,,
314,02070501302088,,,,,,,,,,,,,,,,,,,,
315,02070501302100,,,,,,,,,,,,,,,,,,,,
316,02070501302112,,,,,,,,,,,,,,,,,,,,
317,02070501302124,,,,,,,,,,,,,,,,,,,,
318,02070501302136,,,,,,,,,,,,,,,,,,,,
319,02080300102008,,,,,,,,,,,,,,,,,,,,
320,02080300102022,,,,,,,,,,,,,,,,,,,,
321,02080300102036,,,,,,,,,,,,,,,,,,,,
322,02080300102050,1.0,9.0,no model number,1.0,,,,,,,,,,,,,,,,
323,02080300102064,1.0,9.0,no model no,1.0,,,,,,,,,,,,,,,,
324,02080300102078,,,,,,,,,,,,,,,,,,,,
325,02080300102092,,,,,,,,,,,,,,,,,,,,
326,02080300102106,,,,,,,,,,,,,,,,,,,,
327,02080300102120,,,,,,,,,,,,,,,,,,,,
328,02080300102134,,,,,,,,,,,,,,,,,,,,
329,02080300102148,,,,,,,,,,,,,,,,,,,,
330,02080300102162,,,,,,,,,,,,,,,,,,,,
331,02080300404004,1.0,9.0,no model and,1.0,,,,,,,,,,,,,,,,
332,02080300404015,,,,,,,,,,,,,,,,,,,,
333,02080300404026,,,,,,,,,,,,,,,,,,,,
334,02080300404037,1.0,9.0,o,1.0,,,,,,,,,,,,,,,,
335,02080300404048,,,,,,,,,,,,,,,,,,,,
336,02080300404059,,,,,,,,,,,,,,,,,,,,
337,02080300404070,,,,,,,,,,,,,,,,,,,,
338,02080300404081,,,,,,,,,,,,,,,,,,,,
339,02080300404092,,,,,,,,,,,,,,,,,,,,
340,02080300404104,,,,,,,,,,,,,,,,,,,,
341,02080300404130,,,,,,,,,,,,,,,,,,,,
342,02080300404156,,,,,,,,,,,,,,,,,,,,
343,02090100104008,,,,,,,,,,,,,,,,,,,,
344,02090100104020,,,,,,,,,,,,,,,,,,,,
345,02090100104032,,,,,,,,,,,,,,,,,,,,
346,02090100104044,,,,,,,,,,,,,,,,,,,,
347,02090100104056,,,,,,,,,,,,,,,,,,,,
348,02090100104068,,,,,,,,,,,,,,,,,,,,
349,02090100104080,,,,,,,,,,,,,,,,,,,,
350,02090100104092,,,,,,,,,,,,,,,,,,,,
351,02090100104104,,,,,,,,,,,,,,,,,,,,
352,02090100104116,,,,,,,,,,,,,,,,,,,,
353,02090100104128,1.0,9.0,d light,1.0,,,,,,,,,,,,,,,,
354,02090100104140,1.0,9.0,De light,1.0,,,,,,,,,,,,,,,,
355,02090200123004,1.0,9.0,al-huseni (Ah-4008),1.0,,,,,,,,,,,,,,,,
356,02090200123018,,,,,,,,,,,,,,,,,,,,
357,02090200123032,1.0,11.0,star sound,1.0,,,,,,,,,,,,,,,,
358,02090200123046,,,,,,,,,,,,,,,,,,,,
359,02090200123060,,,,,,,,,,,,,,,,,,,,
360,02090200123074,,,,,,,,,,,,,,,,,,,,
361,02090200123088,1.0,3.0,starbox (p.2en),1.0,,,,,,,,,,,,,,,,
362,02090200123102,,,,,,,,,,,,,,,,,,,,
363,02090200123116,1.0,3.0,de light,1.0,,,,,,,,,,,,,,,,
364,02090200123130,,,,,,,,,,,,,,,,,,,,
365,02090200123144,,,,,,,,,,,,,,,,,,,,
366,02090200123158,,,,,,,,,,,,,,,,,,,,
367,02100100401006,,,,,,,,,,,,,,,,,,,,
368,02100100401026,,,,,,,,,,,,,,,,,,,,
369,02100100401046,,,,,,,,,,,,,,,,,,,,
370,02100100401066,,,,,,,,,,,,,,,,,,,,
371,02100100401086,,,,,,,,,,,,,,,,,,,,
372,02100100401106,,,,,,,,,,,,,,,,,,,,
373,02100100401126,,,,,,,,,,,,,,,,,,,,
374,02100100401146,,,,,,,,,,,,,,,,,,,,
375,02100100401166,,,,,,,,,,,,,,,,,,,,
376,02100100401186,,,,,,,,,,,,,,,,,,,,
377,02100100401206,,,,,,,,,,,,,,,,,,,,
378,02100100401226,,,,,,,,,,,,,,,,,,,,
379,02100100501005,,,,,,,,,,,,,,,,,,,,
380,02100100501024,,,,,,,,,,,,,,,,,,,,
381,02100100501043,,,,,,,,,,,,,,,,,,,,
382,02100100501062,,,,,,,,,,,,,,,,,,,,
383,02100100501081,,,,,,,,,,,,,,,,,,,,
384,02100100501100,,,,,,,,,,,,,,,,,,,,
385,02100100501119,,,,,,,,,,,,,,,,,,,,
386,02100100501138,,,,,,,,,,,,,,,,,,,,
387,02100100501157,,,,,,,,,,,,,,,,,,,,
388,02100100501176,,,,,,,,,,,,,,,,,,,,
389,02100100501195,,,,,,,,,,,,,,,,,,,,
390,02100100501214,,,,,,,,,,,,,,,,,,,,
391,02100200904005,,,,,,,,,,,,,,,,,,,,
392,02100200904016,,,,,,,,,,,,,,,,,,,,
393,02100200904027,,,,,,,,,,,,,,,,,,,,
394,02100200904038,,,,,,,,,,,,,,,,,,,,
395,02100200904049,,,,,,,,,,,,,,,,,,,,
396,02100200904060,,,,,,,,,,,,,,,,,,,,
397,02100200904071,,,,,,,,,,,,,,,,,,,,
398,02100200904082,,,,,,,,,,,,,,,,,,,,
399,02100200904093,,,,,,,,,,,,,,,,,,,,
400,02100200904104,,,,,,,,,,,,,,,,,,,,
401,02100200904115,,,,,,,,,,,,,,,,,,,,
402,02100200904126,,,,,,,,,,,,,,,,,,,,
403,03110300605013,1.0,3.0,China,1.0,,,,,,,,,,,,,,,,
404,03110300605030,,,,,,,,,,,,,,,,,,,,
405,03110300605047,,,,,,,,,,,,,,,,,,,,
406,03110300605064,1.0,99.0,not modify,1.0,,,,,,,,,,,,,,,,
407,03110300605081,,,,,,,,,,,,,,,,,,,,
408,03110300605098,1.0,2.0,China,1.0,,,,,,,,,,,,,,,,
409,03110300605115,1.0,9.0,China,1.0,,,,,,,,,,,,,,,,
410,03110300605132,,,,,,,,,,,,,,,,,,,,
411,03110300605149,,,,,,,,,,,,,,,,,,,,
412,03110300605166,,,,,,,,,,,,,,,,,,,,
413,03110300605183,,,,,,,,,,,,,,,,,,,,
414,03110300605200,,,,,,,,,,,,,,,,,,,,
415,03110301501010,,,,,,,,,,,,,,,,,,,,
416,03110301501025,,,,,,,,,,,,,,,,,,,,
417,03110301501040,1.0,9.0,China,1.0,,,,,,,,,,,,,,,,
418,03110301501055,1.0,9.0,China,1.0,,,,,,,,,,,,,,,,
419,03110301501070,,,,,,,,,,,,,,,,,,,,
420,03110301501085,1.0,9.0,China,1.0,,,,,,,,,,,,,,,,
421,03110301501100,,,,,,,,,,,,,,,,,,,,
422,03110301501115,1.0,9.0,none,1.0,,,,,,,,,,,,,,,,
423,03110301501130,1.0,9.0,universal,1.0,,,,,,,,,,,,,,,,
424,03110301501145,,,,,,,,,,,,,,,,,,,,
425,03110301501160,1.0,9.0,model name universal,1.0,,,,,,,,,,,,,,,,
426,03110301501175,,,,,,,,,,,,,,,,,,,,
427,03110800110001,,,,,,,,,,,,,,,,,,,,
428,03110800110002,,,,,,,,,,,,,,,,,,,,
429,03110800110003,,,,,,,,,,,,,,,,,,,,
430,03110800110008,,,,,,,,,,,,,,,,,,,,
431,03110800110030,,,,,,,,,,,,,,,,,,,,
