,HHID,IndividualID,quest_id,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,HI_7,A1,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,EAID
82,01010301101040,0101030110104004,22,1,1,3,11,1,2,40,4,2,2,25,1,1.0,2.0,7.0,1.0,1.0,1.0,1.0,15.0,,,,,,,1010388801101.0
83,01010301101046,0101030110104601,23,1,1,3,11,1,2,46,1,1,1,27,1,1.0,2.0,2.0,1.0,1.0,6.0,1.0,5.0,1.0,7.0,18.0,900.0,1.0,0.0,1010388801101.0
84,01010301101046,0101030110104602,23,1,1,3,11,1,2,46,2,2,3,2,2,,,,,,,,,,,,,,,1010388801101.0
85,01010301101046,0101030110104603,23,1,1,3,11,1,2,46,3,2,2,19,1,1.0,2.0,8.0,1.0,1.0,1.0,1.0,3.0,19.0,12.0,30.0,500.0,1.0,0.0,1010388801101.0
86,01010301101052,0101030110105201,24,1,1,3,11,1,2,52,1,1,1,60,1,2.0,,,1.0,1.0,6.0,1.0,3.0,1.0,7.0,18.0,816.0,2.0,,1010388801101.0
87,01010301101052,0101030110105202,24,1,1,3,11,1,2,52,2,2,2,45,1,2.0,,,1.0,1.0,1.0,1.0,15.0,,,,,,,1010388801101.0
88,01010301101052,0101030110105203,24,1,1,3,11,1,2,52,3,1,3,25,1,1.0,1.0,7.0,1.0,5.0,6.0,1.0,10.0,,,,,,,1010388801101.0
89,01010301101052,0101030110105204,24,1,1,3,11,1,2,52,4,1,3,23,1,1.0,1.0,10.0,1.0,5.0,6.0,1.0,10.0,,,,,,,1010388801101.0
90,01010301101052,0101030110105205,24,1,1,3,11,1,2,52,5,1,3,14,1,1.0,1.0,3.0,1.0,5.0,6.0,2.0,,,,,,,,1010388801101.0
91,01010301101052,0101030110105206,24,1,1,3,11,1,2,52,6,1,3,10,1,1.0,1.0,3.0,2.0,,,,,,,,,,,1010388801101.0
92,01010301101052,0101030110105207,24,1,1,3,11,1,2,52,7,1,3,9,1,1.0,1.0,0.0,2.0,,,,,,,,,,,1010388801101.0
93,01010301101052,0101030110105208,24,1,1,3,11,1,2,52,8,1,4,5,1,1.0,1.0,0.0,2.0,,,,,,,,,,,1010388801101.0
94,01010301101052,0101030110105209,24,1,1,3,11,1,2,52,9,2,3,35,1,1.0,2.0,4.0,1.0,6.0,1.0,1.0,1.0,19.0,12.0,26.0,900.0,2.0,,1010388801101.0
95,01010301101052,0101030110105210,24,1,1,3,11,1,2,52,10,2,3,11,1,1.0,1.0,3.0,2.0,,,,,,,,,,,1010388801101.0
96,01010400404008,0101040040400801,25,1,1,4,4,4,2,8,1,1,1,58,1,2.0,,,1.0,1.0,6.0,1.0,5.0,1.0,7.0,19.0,434.0,2.0,,1010488800404.0
97,01010400404008,0101040040400802,25,1,1,4,4,4,2,8,2,2,2,48,1,2.0,,,1.0,1.0,1.0,1.0,15.0,,,,,,,1010488800404.0
98,01010400404008,0101040040400803,25,1,1,4,4,4,2,8,3,1,3,27,1,1.0,2.0,4.0,1.0,5.0,6.0,1.0,8.0,,12.0,18.0,2000.0,2.0,,1010488800404.0
99,01010400404008,0101040040400804,25,1,1,4,4,4,2,8,4,1,3,20,1,1.0,1.0,12.0,1.0,5.0,6.0,1.0,10.0,,,,,,,1010488800404.0
100,01010400404008,0101040040400805,25,1,1,4,4,4,2,8,5,1,3,12,1,1.0,1.0,6.0,1.0,5.0,6.0,2.0,,,,,,,,1010488800404.0
101,01010400404008,0101040040400806,25,1,1,4,4,4,2,8,6,1,3,9,1,1.0,1.0,3.0,2.0,,,,,,,,,,,1010488800404.0
102,01010400404008,0101040040400807,25,1,1,4,4,4,2,8,7,2,3,18,1,1.0,1.0,10.0,1.0,5.0,1.0,1.0,10.0,,,,,,,1010488800404.0
103,01010400404027,0101040040402701,26,1,1,4,4,4,2,27,1,1,1,40,1,2.0,,,1.0,1.0,6.0,1.0,5.0,1.0,7.0,18.0,2000.0,2.0,,1010488800404.0
104,01010400404027,0101040040402702,26,1,1,4,4,4,2,27,2,2,2,38,1,2.0,,,1.0,1.0,1.0,1.0,15.0,,,,,,,1010488800404.0
105,01010400404027,0101040040402703,26,1,1,4,4,4,2,27,3,1,3,16,1,1.0,1.0,6.0,1.0,5.0,6.0,1.0,10.0,,,,,,,1010488800404.0
106,01010400404027,0101040040402704,26,1,1,4,4,4,2,27,4,1,3,13,1,1.0,1.0,5.0,1.0,3.0,6.0,2.0,,,,,,,,1010488800404.0
107,01010400404027,0101040040402705,26,1,1,4,4,4,2,27,5,1,3,11,1,1.0,1.0,2.0,2.0,,,,,,,,,,,1010488800404.0
