,HHID,H2,H3,H4,H5,H6,H7,H8,H9,H12,H13,H14,H14_unit,H15,C2
272,01010301101010,7,2,,,,,,,,,,,,1
273,01010301101010,8,2,,,,,,,,,,,,1
274,01010301101010,9,2,,,,,,,,,,,,1
275,01010301101010,10,2,,,,,,,,,,,,1
276,01010301101010,11,2,,,,,,,,,,,,1
277,01010301101010,12,2,,,,,,,,,,,,1
278,01010301101010,13,2,,,,,,,,,,,,1
279,01010301101010,14,1,1.0,,,,,,10.0,15.0,43.0,15.0,15.0,1
280,01010301101010,15,2,,,,,,,,,,,,1
281,01010301101010,16,2,,,,,,,,,,,,1
282,01010301101010,17,2,,,,,,,,,,,,1
283,01010301101010,18,2,,,,,,,,,,,,1
284,01010301101010,19,2,,,,,,,,,,,,1
285,01010301101012,1,2,,,,,,,,,,,,2
286,01010301101012,2,2,,,,,,,,,,,,2
287,01010301101012,3,1,,1.0,,1.0,,,1.0,12.0,4.0,12.0,0.0,2
288,01010301101012,4,1,,,,,,11.0,13.0,1.0,50.0,1.0,60.0,2
289,01010301101012,5,2,,,,,,,-88.0,-88.0,-88.0,-88.0,-88.0,2
290,01010301101012,6,2,,,,,,,,,,,,2
291,01010301101012,7,2,,,,,,,,,,,,2
292,01010301101012,8,2,,,,,,,,,,,,2
293,01010301101012,9,1,,1.0,,1.0,,,1.0,5.0,4.0,5.0,0.0,2
294,01010301101012,10,2,,,,,,,,,,,,2
295,01010301101012,11,2,,,,,,,,,,,,2
296,01010301101012,12,2,,,,,,,,,,,,2
297,01010301101012,13,2,,,,,,,,,,,,2
298,01010301101012,14,2,,,,,,,,,,,,2
299,01010301101012,15,2,,,,,,,,,,,,2
300,01010301101012,16,2,,,,,,,,,,,,2
301,01010301101012,17,2,,,,,,,,,,,,2
302,01010301101012,18,2,,,,,,,,,,,,2
303,01010301101012,19,2,,,,,,,,,,,,2
304,01010301101016,1,2,,,,,,,,,,,,1
305,01010301101016,2,1,1.0,,,1.0,,,2.0,12.0,8.0,12.0,440.0,1
306,01010301101016,3,1,,1.0,,1.0,,,2.0,12.0,8.0,12.0,0.0,1
307,01010301101016,4,1,,,,,,11.0,13.0,1.0,50.0,1.0,0.0,1
308,01010301101016,5,2,,,,,,,-88.0,-88.0,-88.0,-88.0,-88.0,1
309,01010301101016,6,2,,,,,,,,,,,,1
310,01010301101016,7,2,,,,,,,,,,,,1
311,01010301101016,8,2,,,,,,,,,,,,1
312,01010301101016,9,2,,,,,,,,,,,,1
313,01010301101016,10,2,,,,,,,,,,,,1
314,01010301101016,11,2,,,,,,,,,,,,1
315,01010301101016,12,2,,,,,,,,,,,,1
316,01010301101016,13,1,,1.0,,,,,1.0,5.0,4.0,5.0,0.0,1
317,01010301101016,14,1,1.0,,,,,,33.0,15.0,,,58.0,1
318,01010301101016,15,2,,,,,,,,,,,,1
319,01010301101016,16,2,,,,,,,,,,,,1
320,01010301101016,17,2,,,,,,,,,,,,1
321,01010301101016,18,2,,,,,,,,,,,,1
322,01010301101016,19,2,,,,,,,,,,,,1
323,01010301101020,1,2,,,,,,,,,,,,2
324,01010301101020,2,2,,,,,,,,,,,,2
325,01010301101020,3,1,,1.0,,1.0,,,3.0,12.0,12.0,12.0,0.0,2
326,01010301101020,4,1,,,,,,11.0,10.0,1.0,40.0,1.0,0.0,2
327,01010301101020,5,2,,,,,,,-88.0,-88.0,-88.0,-88.0,-88.0,2
328,01010301101020,6,2,,,,,,,,,,,,2
329,01010301101020,7,2,,,,,,,,,,,,2
330,01010301101020,8,2,,,,,,,,,,,,2
331,01010301101020,9,1,,1.0,,1.0,,,2.0,5.0,8.0,5.0,0.0,2
332,01010301101020,10,2,,,,,,,,,,,,2
333,01010301101020,11,2,,,,,,,,,,,,2
334,01010301101020,12,2,,,,,,,,,,,,2
335,01010301101020,13,1,,1.0,,1.0,,,1.0,3.0,2.0,3.0,0.0,2
336,01010301101020,14,2,,,,,,,,,,,,2
337,01010301101020,15,2,,,,,,,,,,,,2
338,01010301101020,16,2,,,,,,,,,,,,2
339,01010301101020,17,2,,,,,,,,,,,,2
340,01010301101020,18,2,,,,,,,,,,,,2
341,01010301101020,19,2,,,,,,,,,,,,2
342,01010301101022,1,2,,,,,,,,,,,,1
343,01010301101022,2,2,,,,,,,,,,,,1
344,01010301101022,3,1,,1.0,,1.0,,11.0,2.0,12.0,10.0,12.0,0.0,1
345,01010301101022,4,1,,1.0,,,,11.0,13.0,1.0,50.0,1.0,60.0,1
346,01010301101022,5,2,,,,,,,-88.0,-88.0,-88.0,-88.0,-88.0,1
347,01010301101022,6,2,,,,,,,,,,,,1
348,01010301101022,7,2,,,,,,,,,,,,1
349,01010301101022,8,2,,,,,,,,,,,,1
350,01010301101022,9,2,,,,,,,,,,,,1
351,01010301101022,10,2,,,,,,,,,,,,1
352,01010301101022,11,2,,,,,,,,,,,,1
353,01010301101022,12,2,,,,,,,,,,,,1
354,01010301101022,13,2,,,,,,,,,,,,1
355,01010301101022,14,1,1.0,,,,,,10.0,15.0,43.0,15.0,15.0,1
356,01010301101022,15,2,,,,,,,,,,,,1
357,01010301101022,16,2,,,,,,,,,,,,1
358,01010301101022,17,2,,,,,,,,,,,,1
359,01010301101022,18,2,,,,,,,,,,,,1
360,01010301101022,19,2,,,,,,,,,,,,1
361,01010301101028,1,2,,,,,,,,,,,,1
362,01010301101028,2,1,,1.0,,,,,2.0,12.0,8.0,12.0,320.0,1
363,01010301101028,3,1,,1.0,,,,,2.0,12.0,8.0,12.0,0.0,1
364,01010301101028,4,1,,1.0,,,,11.0,13.0,15.0,50.0,15.0,100.0,1
365,01010301101028,5,2,,,,,,,-88.0,-88.0,-88.0,-88.0,-88.0,1
366,01010301101028,6,2,,,,,,,,,,,,1
367,01010301101028,7,2,,,,,,,,,,,,1
368,01010301101028,8,2,,,,,,,,,,,,1
369,01010301101028,9,1,,1.0,,,,,1.0,5.0,0.0,-88.0,,1
370,01010301101028,10,2,,,,,,,,,,,,1
371,01010301101028,11,2,,,,,,,,,,,,1
372,01010301101028,12,2,,,,,,,,,,,,1
373,01010301101028,13,2,,,,,,,,,,,,1
374,01010301101028,14,1,1.0,,,,,,12.0,15.0,51.0,15.0,20.0,1
375,01010301101028,15,2,,,,,,,,,,,,1
376,01010301101028,16,2,,,,,,,,,,,,1
377,01010301101028,17,2,,,,,,,,,,,,1
378,01010301101028,18,2,,,,,,,,,,,,1
