,HHID,I35,I36_1,I36_2,HI_1o
210,02070101804061,2.0,0.0,0.0,11:14:45
211,02070101804071,2.0,0.0,0.0,05:11:36
212,02070101804081,3.0,0.0,0.0,01:34:21
213,02070101804091,1.0,0.0,0.0,11:25:59
214,02070101804101,1.0,0.0,0.0,12:25:25
215,02070101804111,1.0,0.0,0.0,13:55:57
216,02070101901002,5.0,100.0,0.0,08:29:11
217,02070101901014,5.0,100.0,70.0,09:28:32
218,02070101901026,5.0,80.0,0.0,15:55:09
219,02070101901038,4.0,0.0,0.0,09:33:44
220,02070101901050,5.0,0.0,0.0,11:41:38
221,02070101901062,5.0,0.0,0.0,17:11:05
222,02070101901074,1.0,0.0,0.0,04:00:19
223,02070101901086,1.0,0.0,0.0,07:22:42
224,02070101901098,2.0,0.0,0.0,05:54:30
225,02070101901110,1.0,0.0,0.0,09:56:01
226,02070101901122,1.0,0.0,0.0,11:24:19
227,02070101901134,,0.0,0.0,12:23:31
228,02070200101003,1.0,200.0,0.0,02:53:04
229,02070200101011,1.0,190.0,40.0,10:44:58
230,02070200101019,2.0,180.0,0.0,09:23:38
231,02070200101027,2.0,125.0,60.0,10:25:32
232,02070200101035,2.0,150.0,0.0,12:05:21
233,02070200101043,4.0,30.0,120.0,12:04:03
234,02070200101051,1.0,270.0,0.0,08:00:24
235,02070200101059,2.0,270.0,0.0,15:56:17
236,02070200101067,1.0,250.0,0.0,04:09:27
237,02070200101075,1.0,500.0,60.0,07:00:56
238,02070200101083,1.0,180.0,0.0,08:15:51
239,02070200101091,1.0,250.0,0.0,09:30:53
240,02070300104005,5.0,80.0,0.0,02:39:44
241,02070300104016,1.0,180.0,0.0,06:08:36
242,02070300104027,5.0,150.0,0.0,11:24:31
243,02070300104038,5.0,80.0,0.0,12:10:36
244,02070300104049,1.0,150.0,0.0,12:49:34
245,02070300104060,1.0,120.0,0.0,19:33:16
246,02070300104071,1.0,30.0,0.0,20:13:17
247,02070300104082,1.0,150.0,0.0,11:43:06
248,02070300104093,1.0,150.0,0.0,12:20:33
249,02070300104104,1.0,150.0,0.0,13:01:14
250,02070300104115,,0.0,0.0,13:47:32
251,02070300104126,1.0,100.0,0.0,14:29:59
252,02070300111005,1.0,100.0,0.0,02:53:36
253,02070300111015,1.0,108.0,0.0,03:29:51
254,02070300111025,1.0,50.0,0.0,04:20:39
255,02070300111035,1.0,110.0,0.0,05:24:12
256,02070300111045,1.0,100.0,0.0,06:06:02
257,02070300111055,1.0,150.0,120.0,11:11:46
258,02070300111065,1.0,300.0,0.0,15:50:05
259,02070300111075,1.0,150.0,0.0,12:18:57
260,02070300111085,1.0,480.0,40.0,02:45:10
261,02070300111095,1.0,80.0,150.0,04:10:31
262,02070300111105,1.0,180.0,60.0,05:02:29
263,02070300111115,1.0,150.0,50.0,06:08:12
264,02070300205006,1.0,320.0,0.0,02:24:18
265,02070300205011,1.0,260.0,0.0,03:21:08
266,02070300205016,1.0,40.0,0.0,08:00:30
267,02070300205021,1.0,150.0,0.0,04:42:27
268,02070300205026,1.0,280.0,0.0,10:56:13
269,02070300205031,1.0,150.0,0.0,12:05:50
270,02070300205036,1.0,120.0,0.0,12:49:19
271,02070300205041,1.0,100.0,0.0,02:54:54
272,02070300205046,1.0,65.0,0.0,04:05:30
273,02070300205051,1.0,150.0,0.0,04:38:10
274,02070300205056,1.0,165.0,0.0,09:19:59
275,02070300205061,2.0,80.0,0.0,06:17:04
276,02070300212007,1.0,120.0,0.0,03:55:14
277,02070300212015,1.0,120.0,100.0,04:49:22
278,02070300212023,1.0,75.0,0.0,05:39:07
279,02070300212031,1.0,120.0,0.0,06:28:55
280,02070300212039,1.0,120.0,0.0,07:12:13
281,02070300212047,1.0,150.0,0.0,08:14:37
282,02070300212055,2.0,150.0,0.0,03:44:20
283,02070300212063,2.0,120.0,0.0,04:23:55
284,02070300212071,2.0,120.0,0.0,02:23:05
285,02070300212079,1.0,150.0,0.0,03:28:14
286,02070300212087,2.0,0.0,0.0,04:20:47
287,02070300212095,2.0,120.0,0.0,05:18:24
288,02070501103003,,150.0,110.0,03:57:09
289,02070501103013,5.0,120.0,80.0,00:54:12
290,02070501103023,,110.0,0.0,01:33:08
291,02070501103033,,100.0,0.0,02:18:04
292,02070501103041,5.0,120.0,80.0,00:35:03
293,02070501103049,2.0,160.0,200.0,09:58:12
294,02070501103059,5.0,0.0,0.0,17:09:03
295,02070501103079,5.0,150.0,60.0,10:11:56
296,02070501103089,5.0,150.0,120.0,11:53:55
297,02070501103103,1.0,120.0,110.0,07:21:17
298,02070501103106,5.0,150.0,120.0,15:34:24
299,02070501103133,5.0,0.0,0.0,12:04:50
300,02070501302004,,0.0,0.0,03:06:26
301,02070501302016,1.0,0.0,0.0,04:58:07
302,02070501302028,1.0,0.0,0.0,06:59:28
303,02070501302040,,0.0,0.0,03:17:53
304,02070501302052,,0.0,0.0,05:14:12
305,02070501302064,,0.0,0.0,07:21:24
306,02070501302076,2.0,70.0,0.0,02:28:06
307,02070501302088,1.0,0.0,0.0,04:59:01
308,02070501302100,1.0,0.0,45.0,07:03:49
309,02070501302112,1.0,0.0,0.0,02:41:52
310,02070501302124,,0.0,0.0,04:50:54
311,02070501302136,,0.0,0.0,07:44:40
312,02080300102008,1.0,0.0,0.0,04:03:25
313,02080300102022,,0.0,0.0,06:18:37
314,02080300102036,,0.0,0.0,19:30:09
315,02080300102050,4.0,0.0,0.0,09:47:20
316,02080300102064,4.0,0.0,0.0,11:16:12
317,02080300102078,1.0,0.0,0.0,15:30:46
318,02080300102092,4.0,0.0,0.0,09:28:05
319,02080300102106,5.0,0.0,0.0,10:59:07
320,02080300102120,4.0,0.0,0.0,15:36:00
321,02080300102134,1.0,60.0,0.0,03:05:11
322,02080300102148,,60.0,0.0,04:47:02
323,02080300102162,,0.0,0.0,09:18:23
324,02080300404004,3.0,0.0,0.0,09:53:04
325,02080300404015,2.0,0.0,0.0,11:25:33
326,02080300404026,4.0,0.0,0.0,15:05:33
327,02080300404037,,0.0,0.0,03:18:00
328,02080300404048,,50.0,0.0,05:25:08
329,02080300404059,,100.0,0.0,09:09:36
330,02080300404070,1.0,0.0,0.0,03:39:45
331,02080300404081,1.0,0.0,0.0,05:42:52
332,02080300404092,1.0,0.0,0.0,07:30:27
333,02080300404104,1.0,50.0,0.0,03:48:12
334,02080300404130,,0.0,60.0,04:56:34
335,02080300404156,,0.0,70.0,06:48:38
336,02090100104008,2.0,0.0,20.0,03:08:28
337,02090100104020,2.0,0.0,20.0,04:08:11
338,02090100104032,1.0,100.0,50.0,08:58:10
339,02090100104044,1.0,100.0,0.0,10:41:00
340,02090100104056,2.0,100.0,0.0,03:19:11
341,02090100104068,2.0,60.0,0.0,04:54:33
342,02090100104080,1.0,100.0,30.0,06:22:35
343,02090100104092,2.0,0.0,50.0,05:13:12
344,02090100104104,2.0,90.0,0.0,06:55:46
345,02090100104116,1.0,100.0,40.0,09:32:13
346,02090100104128,2.0,150.0,0.0,10:27:25
347,02090100104140,2.0,90.0,0.0,04:16:31
348,02090200123004,1.0,150.0,35.0,02:47:43
349,02090200123018,4.0,50.0,0.0,03:32:35
350,02090200123032,1.0,350.0,60.0,09:51:16
351,02090200123046,2.0,95.0,0.0,11:38:50
352,02090200123060,2.0,180.0,60.0,02:20:08
353,02090200123074,2.0,550.0,80.0,03:41:18
354,02090200123088,3.0,0.0,80.0,10:33:51
355,02090200123102,2.0,320.0,40.0,04:54:48
356,02090200123116,2.0,150.0,30.0,10:02:11
357,02090200123130,3.0,150.0,50.0,02:49:24
358,02090200123144,2.0,150.0,0.0,04:40:32
359,02090200123158,3.0,50.0,75.0,11:48:37
360,02100100401006,5.0,0.0,0.0,09:47:40
361,02100100401026,2.0,0.0,0.0,10:35:48
362,02100100401046,2.0,0.0,0.0,14:48:53
363,02100100401066,1.0,0.0,0.0,09:22:52
364,02100100401086,1.0,0.0,0.0,10:56:31
365,02100100401106,2.0,0.0,0.0,15:07:14
366,02100100401126,,0.0,0.0,03:21:14
367,02100100401146,,0.0,0.0,05:08:17
368,02100100401166,,0.0,0.0,08:54:09
369,02100100401186,1.0,0.0,0.0,03:41:20
370,02100100401206,1.0,0.0,0.0,05:23:19
371,02100100401226,1.0,0.0,0.0,09:18:37
372,02100100501005,,0.0,0.0,09:19:04
373,02100100501024,,0.0,0.0,11:11:06
374,02100100501043,,0.0,0.0,15:11:20
375,02100100501062,1.0,0.0,0.0,09:16:48
376,02100100501081,,0.0,0.0,12:09:48
377,02100100501100,,0.0,0.0,14:57:10
378,02100100501119,1.0,0.0,0.0,03:03:18
379,02100100501138,1.0,0.0,0.0,05:41:35
380,02100100501157,1.0,0.0,0.0,06:49:07
381,02100100501176,1.0,0.0,0.0,03:38:41
382,02100100501195,1.0,0.0,0.0,05:53:51
383,02100100501214,1.0,0.0,0.0,21:08:11
384,02100200904005,4.0,0.0,0.0,09:07:55
385,02100200904016,5.0,0.0,0.0,10:29:05
386,02100200904027,4.0,0.0,0.0,15:39:52
387,02100200904038,1.0,0.0,0.0,03:03:47
388,02100200904049,1.0,0.0,0.0,05:51:14
389,02100200904060,1.0,0.0,0.0,09:13:29
390,02100200904071,5.0,0.0,0.0,10:00:44
391,02100200904082,,0.0,0.0,11:30:32
392,02100200904093,,0.0,0.0,01:10:10
393,02100200904104,,0.0,0.0,03:01:18
394,02100200904115,,0.0,0.0,05:28:38
395,02100200904126,,0.0,0.0,09:25:19
396,03110300605013,1.0,0.0,0.0,04:22:02
397,03110300605030,1.0,0.0,0.0,05:38:39
398,03110300605047,1.0,0.0,0.0,09:57:43
399,03110300605064,1.0,0.0,0.0,07:56:14
400,03110300605081,1.0,0.0,0.0,04:17:20
401,03110300605098,1.0,0.0,0.0,07:49:27
402,03110300605115,1.0,0.0,0.0,05:32:09
403,03110300605132,1.0,0.0,0.0,09:40:52
404,03110300605149,1.0,0.0,0.0,17:25:58
405,03110300605166,1.0,0.0,0.0,19:15:24
406,03110300605183,1.0,0.0,0.0,02:20:48
407,03110300605200,1.0,0.0,0.0,15:59:32
408,03110301501010,1.0,0.0,0.0,03:51:22
409,03110301501025,1.0,0.0,0.0,07:18:29
410,03110301501040,2.0,0.0,0.0,05:53:29
411,03110301501055,1.0,0.0,0.0,09:44:43
412,03110301501070,1.0,0.0,0.0,03:50:00
413,03110301501085,1.0,0.0,0.0,04:49:59
414,03110301501100,1.0,0.0,0.0,07:11:53
415,03110301501115,1.0,0.0,0.0,02:47:09
416,03110301501130,1.0,0.0,0.0,14:04:48
417,03110301501145,1.0,60.0,0.0,14:34:10
418,03110301501160,,0.0,0.0,00:26:50
419,03110301501175,,0.0,0.0,01:04:30
420,03110800110001,5.0,80.0,0.0,19:14:38
421,03110800110002,5.0,40.0,0.0,23:14:11
422,03110800110003,5.0,70.0,0.0,20:22:41
423,03110800110008,5.0,90.0,0.0,18:45:25
424,03110800110030,5.0,60.0,0.0,19:46:44
425,03110800110052,5.0,36.0,0.0,01:24:23
426,03110800110074,5.0,60.0,0.0,20:54:05
427,03110800110096,5.0,80.0,0.0,21:31:19
428,03110800110118,,0.0,0.0,21:53:51
429,03110800110140,5.0,100.0,0.0,19:39:34
430,03110800110162,5.0,220.0,0.0,21:09:19
431,03110800110184,5.0,150.0,0.0,20:26:07
432,03110800701014,1.0,0.0,0.0,04:05:08
433,03110800701029,1.0,0.0,0.0,05:41:42
434,03110800701044,1.0,0.0,0.0,07:11:47
435,03110800701059,1.0,0.0,0.0,09:06:04
436,03110800701074,1.0,0.0,0.0,04:49:39
437,03110800701089,1.0,0.0,0.0,06:43:53
438,03110800701104,1.0,0.0,0.0,08:24:55
439,03110800701119,1.0,0.0,0.0,09:52:46
440,03110800701134,1.0,0.0,0.0,19:58:08
441,03110800701149,,0.0,0.0,21:40:21
442,03110800701164,,0.0,0.0,23:11:33
443,03110800701179,,0.0,0.0,23:39:10
444,03111700101001,5.0,40.0,0.0,16:03:37
445,03111700101002,5.0,70.0,0.0,16:59:51
446,03111700101003,5.0,40.0,0.0,18:02:31
447,03111700101013,5.0,70.0,0.0,14:56:42
448,03111700101037,5.0,40.0,0.0,19:56:26
449,03111700101061,5.0,150.0,0.0,21:51:22
450,03111700101085,5.0,70.0,0.0,17:56:00
451,03111700101109,5.0,40.0,0.0,19:10:48
452,03111700101133,5.0,160.0,0.0,18:40:28
453,03111700101157,5.0,0.0,0.0,16:43:52
454,03111700101181,5.0,120.0,0.0,20:08:42
455,03111700101205,5.0,70.0,0.0,23:13:11
456,03111800604007,5.0,60.0,50.0,18:51:15
457,03111800604026,5.0,100.0,100.0,22:37:54
458,03111800604045,5.0,200.0,200.0,19:47:53
459,03111800604064,5.0,150.0,160.0,20:51:09
460,03111800604083,5.0,120.0,0.0,00:35:55
461,03111800604102,5.0,125.0,0.0,02:32:34
462,03111800604121,5.0,150.0,0.0,20:01:11
463,03111800604140,5.0,150.0,0.0,00:19:39
464,03111800604159,5.0,271.0,0.0,21:26:35
465,03111800604178,5.0,100.0,0.0,18:43:37
466,03111800604197,5.0,250.0,0.0,22:04:23
467,03111800604216,5.0,130.0,0.0,19:35:41
468,03111801205008,5.0,150.0,0.0,00:41:33
469,03111801205017,5.0,125.0,0.0,19:06:59
470,03111801205026,5.0,300.0,0.0,19:51:02
471,03111801205035,5.0,500.0,0.0,20:33:39
472,03111801205044,5.0,100.0,0.0,21:02:56
473,03111801205053,5.0,250.0,0.0,21:51:00
474,03111801205062,5.0,60.0,150.0,18:29:35
475,03111801205071,,0.0,0.0,20:48:59
476,03111801205080,5.0,250.0,0.0,19:07:19
477,03111801205089,5.0,150.0,0.0,22:06:39
478,03111801205098,5.0,117.0,0.0,19:46:30
479,03111801205107,5.0,5.0,150.0,20:11:47
480,03111802013001,5.0,45.0,0.0,01:51:09
481,03111802013004,5.0,120.0,0.0,00:54:06
482,03111802013018,5.0,150.0,0.0,01:26:10
483,03111802013032,5.0,120.0,0.0,02:16:06
484,03111802013046,5.0,36.0,0.0,01:43:59
485,03111802013060,5.0,120.0,0.0,00:02:27
486,03111802013074,5.0,220.0,0.0,01:19:16
487,03111802013088,5.0,250.0,0.0,00:49:14
488,03111802013102,5.0,120.0,0.0,00:13:19
489,03111802013116,5.0,160.0,0.0,00:39:30
490,03111802013130,5.0,250.0,0.0,21:19:33
491,03111802013144,5.0,120.0,0.0,04:44:45
492,03112101007015,1.0,0.0,0.0,05:13:58
493,03112101007031,1.0,0.0,0.0,03:38:11
494,03112101007047,1.0,0.0,0.0,07:40:25
495,03112101007063,1.0,300.0,200.0,09:08:24
496,03112101007079,1.0,0.0,0.0,03:55:04
497,03112101007095,1.0,0.0,0.0,05:34:24
498,03112101007111,1.0,0.0,0.0,07:29:47
499,03112101007127,1.0,0.0,0.0,08:58:12
500,03112101007143,1.0,0.0,0.0,23:27:50
501,03112101007159,1.0,0.0,0.0,16:43:23
502,03112101007175,1.0,0.0,0.0,17:14:19
503,03112101007191,1.0,0.0,0.0,04:43:13
504,03120102608012,1.0,0.0,0.0,03:42:52
505,03120102608028,1.0,0.0,0.0,07:25:49
506,03120102608044,1.0,0.0,0.0,05:29:34
507,03120102608060,1.0,0.0,0.0,08:51:54
508,03120102608076,,0.0,0.0,08:32:11
509,03120102608092,,0.0,0.0,09:37:26
510,03120102608108,5.0,50.0,0.0,05:21:21
511,03120102608124,,0.0,0.0,04:10:48
512,03120102608140,1.0,400.0,150.0,03:34:06
513,03120102608156,1.0,0.0,0.0,05:26:32
514,03120102608172,1.0,0.0,0.0,07:15:42
515,03120102608188,1.0,0.0,0.0,08:46:20
516,03120200303028,5.0,200.0,0.0,16:30:46
517,03120200303049,5.0,200.0,0.0,21:10:34
518,03120200303070,5.0,100.0,0.0,15:29:33
519,03120200303091,5.0,150.0,0.0,22:49:19
520,03120200303112,,45.0,0.0,16:06:08
521,03120200303133,5.0,130.0,0.0,17:49:54
522,03120200303154,5.0,180.0,0.0,17:14:32
523,03120200303175,5.0,130.0,0.0,18:43:43
524,03120200303196,5.0,70.0,0.0,18:21:27
525,03120200303217,5.0,60.0,0.0,19:10:59
526,03120200303238,,15.0,0.0,19:27:31
527,03120300709007,,0.0,0.0,08:01:08
528,03120300709022,,0.0,0.0,03:19:45
529,03120300709037,,0.0,0.0,05:14:05
530,03120300709052,,0.0,0.0,07:00:11
531,03120300709067,1.0,0.0,0.0,02:47:21
532,03120300709082,1.0,0.0,0.0,04:08:50
533,03120300709097,1.0,0.0,0.0,05:42:55
534,03120300709112,1.0,0.0,0.0,07:30:56
535,03120300709127,1.0,0.0,0.0,03:10:43
536,03120300709142,1.0,0.0,0.0,04:38:10
537,03120300709157,1.0,0.0,0.0,05:51:49
538,03120300709172,1.0,0.0,0.0,07:27:37
539,03120302401010,1.0,0.0,0.0,04:01:54
540,03120302401027,1.0,0.0,0.0,05:02:13
