,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,a8,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H14_w,H14_t,H15_w,H15_t,H16_w,H16_t,H17_w,H17_t,H18,H21_mm,H21_yy,H19,H20_first,H20_second,H21,H22,H23,H24,H25,H26
69,03180201302,3,18,2,13,2,2,13,3,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,40.0
70,03180302503,3,18,3,25,3,2,14,3,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
71,03180700305,3,18,7,3,5,1,1,1,,,,,25.0,0.0,2.0,1824.0,50.0,2.0,,,,24.0,,3.0,,2.0,2.0,,,,1.0,,3.0,2.0,2.0,2.0,2,
72,03190201401,3,19,2,14,1,2,9,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
73,03190202501,3,19,2,25,1,2,8,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
74,03190402004,3,19,4,20,4,2,10,3,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
75,03200100113,3,20,1,1,13,2,1,3,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2,
76,03200100807,3,20,1,8,7,2,7,1,,,,,5.0,1200.0,4.0,50.0,0.0,1.0,2.0,2.0,2.0,24.0,0.0,4.0,2.0,1.0,1.0,12.0,2009.0,16.0,1.0,,4.0,2.0,2.0,4.0,1,2.0
77,03200200209,3,20,2,2,9,1,4,1,,,,,36.0,0.0,1.0,5799.0,409.0,1.0,2.0,2.0,12.0,24.0,2.0,2.0,2.0,2.0,1.0,1.0,2009.0,3.0,8.0,2.0,1.0,1.0,1.0,2.0,2,
78,03210101214,3,21,1,12,14,1,1,1,,,,,30.0,1000.0,2.0,6300.0,677.0,1.0,2.0,2.0,10.0,10.0,4.0,4.0,2.0,2.0,2.0,,,,1.0,2.0,1.0,2.0,1.0,4.0,2,
79,04220202602,4,22,2,26,2,2,1,3,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0
80,04220800303,4,22,8,3,3,2,1,3,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1.0
81,04230200302,4,23,2,3,2,2,1,3,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,15.0
82,04231300304,4,23,13,3,4,2,1,3,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20.0
