,HHID,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I14,I15,I16,I17,I18,I19,I20_a,I20_b,I21_a,I21_b,I22,I23,I24,I25,I26,I27,I28,I29,I31,I32,I33,I34_1,I34_2
101,01010400404178,3,1,60.0,1.0,35.0,,2.0,7.0,1.0,1.0,50.0,2.0,3.0,6.0,1.0,1.0,1.0,4.0,,3.0,,5.0,7.0,1.0,60.0,0.0,0.0,0.0,1.0,3.0,9.0,2.0,2.0,6.0
102,01010400404197,1,1,,,,,,,,1.0,0.0,1.0,3.0,6.0,2.0,1.0,1.0,3.0,,1.0,,5.0,7.0,3.0,60.0,60.0,60.0,30.0,2.0,,9.0,7.0,11.0,
103,01010400404197,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,01010400404197,3,1,36.0,1.0,40.0,,2.0,7.0,1.0,1.0,60.0,2.0,3.0,6.0,2.0,1.0,1.0,4.0,,3.0,,5.0,7.0,1.0,60.0,0.0,0.0,0.0,1.0,2.0,9.0,7.0,2.0,6.0
105,01010400404216,1,1,,,,,,,,1.0,0.0,1.0,3.0,6.0,2.0,1.0,1.0,3.0,,1.0,,5.0,7.0,3.0,60.0,60.0,60.0,30.0,2.0,,9.0,1.0,11.0,
106,01010400404216,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,01010400404216,3,1,36.0,1.0,40.0,,2.0,7.0,1.0,1.0,60.0,2.0,3.0,12.0,1.0,2.0,,4.0,,1.0,,2.0,7.0,1.0,60.0,0.0,0.0,0.0,1.0,2.0,9.0,1.0,2.0,2.0
108,01010400804007,1,1,,,,,,,,1.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,10.0,2.0,2.0,5.0,7.0,3.0,60.0,60.0,60.0,30.0,2.0,,9.0,2.0,11.0,
109,01010400804007,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,01010400804007,3,1,36.0,1.0,30.0,,2.0,7.0,1.0,1.0,80.0,1.0,4.0,,,2.0,,4.0,,2.0,,10.0,7.0,1.0,60.0,0.0,0.0,0.0,2.0,,9.0,2.0,1.0,6.0
111,01010400804027,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,01010400804027,2,1,,,,,,,2.0,1.0,20.0,2.0,5.0,,,2.0,,4.0,,2.0,,6.0,7.0,3.0,120.0,60.0,60.0,30.0,2.0,,9.0,1.0,11.0,
113,01010400804027,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,01010400804047,1,1,,,,,,,,1.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,,2.0,,5.0,7.0,3.0,60.0,60.0,60.0,30.0,2.0,,9.0,2.0,11.0,
115,01010400804047,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,01010400804047,3,1,12.0,1.0,120.0,,2.0,6.0,1.0,1.0,120.0,2.0,4.0,,,2.0,,4.0,,2.0,,3.0,7.0,1.0,60.0,0.0,60.0,30.0,2.0,,9.0,2.0,2.0,6.0
117,01010400804067,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,01010400804067,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,01010400804067,3,1,108.0,1.0,30.0,,2.0,7.0,1.0,1.0,50.0,2.0,2.0,16.0,2.0,2.0,,4.0,,2.0,,30.0,7.0,3.0,60.0,60.0,60.0,30.0,2.0,,9.0,3.0,11.0,
120,01010400804087,1,1,,,,,,,,1.0,0.0,1.0,5.0,,,1.0,1.0,2.0,9.0,2.0,2.0,10.0,7.0,3.0,60.0,60.0,60.0,20.0,2.0,,9.0,2.0,11.0,
121,01010400804087,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,01010400804087,3,1,24.0,1.0,50.0,,2.0,7.0,1.0,1.0,80.0,2.0,2.0,16.0,2.0,2.0,,4.0,,2.0,,10.0,7.0,1.0,60.0,0.0,0.0,0.0,1.0,1.0,9.0,4.0,2.0,2.0
123,01010400804107,1,1,,,,,,,,1.0,0.0,1.0,4.0,,,1.0,1.0,2.0,9.0,2.0,2.0,10.0,3.0,1.0,0.0,0.0,0.0,30.0,2.0,,9.0,2.0,8.0,8.0
124,01010400804107,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,01010400804107,3,1,12.0,1.0,50.0,,2.0,7.0,1.0,1.0,50.0,2.0,4.0,,,2.0,,4.0,,2.0,,5.0,7.0,3.0,60.0,60.0,60.0,0.0,2.0,,9.0,2.0,11.0,
126,01010400804127,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,01010400804127,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,01010400804127,3,1,12.0,1.0,60.0,,2.0,7.0,1.0,1.0,70.0,2.0,4.0,,,2.0,,4.0,,2.0,,5.0,7.0,3.0,60.0,60.0,60.0,60.0,2.0,,9.0,3.0,11.0,
129,01010400804147,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,01010400804147,2,1,,,,,,,2.0,1.0,25.0,2.0,1.0,30.0,2.0,2.0,,4.0,,2.0,,10.0,7.0,3.0,120.0,120.0,120.0,60.0,1.0,1.0,9.0,2.0,11.0,
131,01010400804147,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,01010400804167,1,1,,,,,,,,1.0,0.0,1.0,3.0,4.0,1.0,1.0,1.0,2.0,,2.0,,10.0,2.0,1.0,0.0,0.0,0.0,30.0,2.0,,9.0,2.0,13.0,
133,01010400804167,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,01010400804167,3,1,84.0,1.0,30.0,,2.0,7.0,1.0,1.0,80.0,2.0,5.0,,,2.0,,4.0,,2.0,,10.0,7.0,3.0,120.0,120.0,120.0,0.0,2.0,,9.0,2.0,11.0,
135,01010400804187,1,1,,,,,,,,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,9.0,2.0,2.0,5.0,7.0,3.0,60.0,60.0,60.0,60.0,2.0,,9.0,2.0,11.0,
136,01010400804187,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,01010400804187,3,1,84.0,1.0,35.0,,2.0,7.0,1.0,1.0,60.0,2.0,1.0,16.0,2.0,2.0,,4.0,,2.0,,10.0,7.0,1.0,60.0,0.0,0.0,0.0,2.0,,9.0,2.0,2.0,2.0
138,01010400804207,1,1,,,,,,,,1.0,0.0,1.0,4.0,,,1.0,1.0,2.0,,2.0,,5.0,2.0,2.0,0.0,0.0,0.0,30.0,2.0,,9.0,3.0,13.0,
139,01010400804207,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,01010400804207,3,1,48.0,1.0,35.0,,2.0,6.0,2.0,1.0,40.0,2.0,5.0,,,2.0,,4.0,,1.0,,5.0,7.0,3.0,60.0,60.0,60.0,0.0,1.0,2.0,9.0,2.0,11.0,2.0
141,01010400804227,1,1,,,,,,,,1.0,0.0,1.0,3.0,9.0,1.0,1.0,1.0,2.0,,2.0,,5.0,2.0,0.0,0.0,0.0,0.0,30.0,2.0,,9.0,2.0,13.0,
142,01010400804227,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,01010400804227,3,1,48.0,1.0,40.0,,2.0,7.0,1.0,1.0,40.0,2.0,5.0,,,2.0,,4.0,,2.0,,10.0,7.0,3.0,60.0,60.0,60.0,0.0,1.0,2.0,9.0,2.0,11.0,
144,01020600113003,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,01020600113003,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,01020600113003,3,1,36.0,1.0,40.0,,2.0,6.0,1.0,1.0,10.0,2.0,3.0,9.0,2.0,1.0,1.0,4.0,,2.0,,15.0,7.0,3.0,30.0,30.0,20.0,20.0,2.0,,9.0,2.0,5.0,6.0
147,01020600113011,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,01020600113011,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,01020600113011,3,1,24.0,1.0,50.0,,2.0,6.0,1.0,1.0,10.0,2.0,1.0,4.0,2.0,2.0,,4.0,,2.0,,15.0,7.0,3.0,30.0,30.0,30.0,20.0,2.0,,9.0,1.0,4.0,5.0
150,01020600113019,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,01020600113019,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,01020600113019,3,1,,,,,,,,1.0,10.0,2.0,1.0,4.0,2.0,2.0,,4.0,,2.0,,15.0,7.0,2.0,20.0,0.0,30.0,20.0,2.0,,9.0,2.0,7.0,6.0
153,01020600113027,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,01020600113027,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,01020600113027,3,1,36.0,1.0,40.0,,2.0,6.0,1.0,1.0,5.0,2.0,1.0,4.0,2.0,2.0,,4.0,,2.0,,15.0,7.0,2.0,30.0,0.0,20.0,10.0,2.0,,9.0,1.0,6.0,7.0
