,HHID,M_a,M_b,M1
587,01010400804067,1.0,12.0,3
588,01010400804067,0.0,,4
589,01010400804067,0.0,,5
590,01010400804067,0.0,,6
591,01010400804067,0.0,,7
592,01010400804067,0.0,,8
593,01010400804067,0.0,,9
594,01010400804067,0.0,,10
595,01010400804067,5.0,,11
596,01010400804067,0.0,,12
597,01010400804067,0.0,,13
598,01010400804067,0.0,,14
599,01010400804067,0.0,,15
600,01010400804087,0.0,,1
601,01010400804087,0.0,,2
602,01010400804087,0.0,,3
603,01010400804087,0.0,,4
604,01010400804087,0.0,,5
605,01010400804087,0.0,,6
606,01010400804087,0.0,,7
607,01010400804087,2.0,,8
608,01010400804087,0.0,,9
609,01010400804087,0.0,,10
610,01010400804087,0.0,,11
611,01010400804087,0.0,,12
612,01010400804087,0.0,,13
613,01010400804087,0.0,,14
614,01010400804087,0.0,,15
615,01010400804107,0.0,,1
616,01010400804107,0.0,,2
617,01010400804107,1.0,12.0,3
618,01010400804107,0.0,,4
619,01010400804107,0.0,,5
620,01010400804107,0.0,,6
621,01010400804107,0.0,,7
622,01010400804107,0.0,,8
623,01010400804107,0.0,,9
624,01010400804107,0.0,,10
625,01010400804107,4.0,,11
626,01010400804107,0.0,,12
627,01010400804107,0.0,,13
628,01010400804107,0.0,,14
629,01010400804107,0.0,,15
630,01010400804127,0.0,,1
631,01010400804127,0.0,,2
632,01010400804127,1.0,12.0,3
633,01010400804127,0.0,,4
634,01010400804127,0.0,,5
635,01010400804127,0.0,,6
636,01010400804127,0.0,,7
637,01010400804127,0.0,,8
638,01010400804127,0.0,,9
639,01010400804127,0.0,,10
640,01010400804127,0.0,,11
641,01010400804127,0.0,,12
642,01010400804127,0.0,,13
643,01010400804127,0.0,,14
644,01010400804127,0.0,,15
645,01010400804147,0.0,,1
646,01010400804147,0.0,,2
647,01010400804147,0.0,,3
648,01010400804147,0.0,,4
649,01010400804147,0.0,,5
650,01010400804147,0.0,,6
651,01010400804147,0.0,,7
652,01010400804147,0.0,,8
653,01010400804147,0.0,,9
654,01010400804147,0.0,,10
655,01010400804147,0.0,,11
656,01010400804147,0.0,,12
657,01010400804147,0.0,,13
658,01010400804147,0.0,,14
659,01010400804147,0.0,,15
660,01010400804167,0.0,,1
