,HHID,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,K13,K14,K15,K16,K17,K18
243,02070300104038,2.0,2.0,1.0,,,,,,,4.0,,,,,,,,
244,02070300104049,2.0,2.0,1.0,,,,,,,4.0,,,,,,,,
245,02070300104060,5.0,,,,,,,,,4.0,,,,,,,,
246,02070300104071,5.0,,,,,,,,,4.0,,,,,,,,
247,02070300104082,5.0,,,,,,,,,4.0,,,,,,,,
248,02070300104093,5.0,,,,,,,,,4.0,,,,,,,,
249,02070300104104,4.0,,,,,,,,,3.0,,,,,,,,
250,02070300104115,5.0,,,,,,,,,4.0,,,,,,,,
251,02070300104126,5.0,,,,,,,,,4.0,,,,,,,,
252,02070300111005,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,1.0,1.0,1.0,,,,,,
253,02070300111015,2.0,2.0,2.0,1.0,,,,,,4.0,,,,,,,,
254,02070300111025,2.0,2.0,1.0,,,,,,,1.0,2.0,2.0,1.0,,,,,
255,02070300111035,2.0,2.0,2.0,1.0,,,,,,4.0,,,,,,,,
256,02070300111045,2.0,2.0,2.0,888.0,1.0,1.0,,,,4.0,,,,,,,,
257,02070300111055,2.0,2.0,2.0,2.0,1.0,1.0,,,,4.0,,,,,,,,
258,02070300111065,5.0,,,,,,,,,4.0,,,,,,,,
259,02070300111075,5.0,,,,,,,,,4.0,,,,,,,,
260,02070300111085,4.0,,,,,,,,,4.0,,,,,,,,
261,02070300111095,2.0,2.0,2.0,1.0,,,,,,4.0,,,,,,,,
262,02070300111105,4.0,,,,,,,,,4.0,,,,,,,,
263,02070300111115,4.0,,,,,,,,,1.0,2.0,2.0,1.0,,,,,
264,02070300205006,2.0,1.0,2.0,1.0,,,,,,4.0,,,,,,,,
265,02070300205011,4.0,,,,,,,,,4.0,,,,,,,,
266,02070300205016,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,,,,,,,,
267,02070300205021,2.0,1.0,2.0,1.0,,,,,,4.0,,,,,,,,
268,02070300205026,2.0,2.0,1.0,,,,,,,4.0,,,,,,,,
269,02070300205031,4.0,,,,,,,,,4.0,,,,,,,,
270,02070300205036,4.0,,,,,,,,,4.0,,,,,,,,
271,02070300205041,2.0,2.0,2.0,888.0,1.0,2.0,2.0,1.0,,4.0,,,,,,,,
272,02070300205046,2.0,2.0,2.0,1.0,,,,,,4.0,,,,,,,,
273,02070300205051,2.0,1.0,1.0,,,,,,,4.0,,,,,,,,
274,02070300205056,2.0,1.0,1.0,,,,,,,4.0,,,,,,,,
275,02070300205061,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,,,,,,,,
276,02070300212007,2.0,2.0,2.0,1.0,,,,,,4.0,,,,,,,,
277,02070300212015,2.0,2.0,1.0,,,,,,,2.0,,,,,,,,
278,02070300212023,4.0,,,,,,,,,4.0,,,,,,,,
279,02070300212031,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,,,,,,,,
280,02070300212039,4.0,,,,,,,,,4.0,,,,,,,,
281,02070300212047,2.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
282,02070300212055,2.0,1.0,2.0,1.0,,,,,,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,
283,02070300212063,2.0,2.0,1.0,,,,,,,4.0,,,,,,,,
284,02070300212071,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,,4.0,,,,,,,,
285,02070300212079,2.0,1.0,1.0,,,,,,,4.0,,,,,,,,
286,02070300212087,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,
287,02070300212095,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,,4.0,,,,,,,,
288,02070501103003,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,,,,,,,,
289,02070501103013,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
290,02070501103023,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
291,02070501103033,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
292,02070501103041,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0
293,02070501103049,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
294,02070501103059,1.0,1.0,1.0,,,,,,,4.0,,,,,,,,
295,02070501103079,2.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
296,02070501103089,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,,
297,02070501103103,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0
298,02070501103106,2.0,1.0,1.0,,,,,,,1.0,2.0,2.0,2.0,2.0,1.0,,,
299,02070501103133,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,
300,02070501302004,5.0,,,,,,,,,4.0,,,,,,,,
301,02070501302016,1.0,1.0,1.0,,,,,,,4.0,,,,,,,,
302,02070501302028,5.0,,,,,,,,,4.0,,,,,,,,
303,02070501302040,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
304,02070501302052,5.0,,,,,,,,,1.0,1.0,1.0,,,,,,
305,02070501302064,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
306,02070501302076,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
307,02070501302088,5.0,,,,,,,,,4.0,,,,,,,,
308,02070501302100,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
309,02070501302112,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
310,02070501302124,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
311,02070501302136,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
312,02080300102008,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
313,02080300102022,1.0,1.0,1.0,,,,,,,4.0,,,,,,,,
314,02080300102036,1.0,1.0,1.0,,,,,,,4.0,,,,,,,,
315,02080300102050,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
316,02080300102064,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
317,02080300102078,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
318,02080300102092,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
319,02080300102106,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
320,02080300102120,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
321,02080300102134,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
322,02080300102148,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
323,02080300102162,1.0,1.0,1.0,,,,,,,4.0,,,,,,,,
324,02080300404004,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
325,02080300404015,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
326,02080300404026,1.0,2.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
327,02080300404037,5.0,,,,,,,,,4.0,,,,,,,,
328,02080300404048,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
329,02080300404059,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
330,02080300404070,1.0,1.0,1.0,,,,,,,1.0,2.0,1.0,,,,,,
331,02080300404081,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
332,02080300404092,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,
333,02080300404104,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
334,02080300404130,1.0,2.0,1.0,,,,,,,4.0,,,,,,,,
