,HHID,C144,C146_wm,C146_tm,C147_wm,C147_tm,C148_wm,C148_tm,C149,C150,C152,C153,C154,C155,C155_other,C156,C157,C157_other,C158,C159,C160,C161,C162,C163,C164,C165
162,01050101108084,1.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,1.0,2.0,2001.0,2.0,,,2.0,6.0,,1.0,2.0,,,,1.0,1.0,0.0
163,01050101108097,1.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,1.0,2.0,2008.0,2.0,,,2.0,6.0,,1.0,111.0,,,,,,
164,01050101108110,,,,,,,,,,,,,,,,,,1.0,2.0,,,,1.0,2.0,0.0
165,01050101108123,1.0,2.0,5.0,1.0,4.0,2.0,2.0,2.0,1.0,2.0,2009.0,2.0,,,2.0,6.0,,1.0,111.0,,,,,,
166,01050101108136,,,,,,,,,,,,,,,,,,1.0,2.0,,,,1.0,1.0,16.0
167,01050101108149,,,,,,,,,,,,,,,,,,1.0,111.0,,,,,,
168,01060100317002,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
169,01060100317012,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
170,01060100317022,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
171,01060100317032,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
172,01060100317042,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
173,01060100317052,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
174,01060100317062,2.0,1.0,4.0,1.0,2.0,0.0,1.0,2.0,2.0,3.0,,2.0,,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
175,01060100317072,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
176,01060100317082,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
177,01060100317092,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
178,01060100317102,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
179,01060100317112,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
180,01060200127002,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
181,01060200127003,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
182,01060200127031,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
183,01060200127045,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
184,01060200127058,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
185,01060200127072,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
186,01060200127086,2.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,,2.0,,,2.0,6.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
187,01060200127100,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
188,01060200127113,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
189,01060200127128,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
190,01060200127142,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
191,01060200127156,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
192,01060200506004,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
193,01060200506015,2.0,1.0,4.0,1.0,4.0,0.0,1.0,2.0,2.0,1.0,,2.0,,,3.0,4.0,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
194,01060200506026,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,0.0,
