,CommunityID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,A8,Facility,K4,K5,K6,K7,K10,K11,K12,K13,K15,K16_am,K17_pm,K18,K19,K20,K21,K22,K23,K24,K25,K26_hour,K26_minute,K27,K28,K29,K30,K31,K32_c,K32_u,K33,K34,K35,K36,K37,K38,K39,K40,K41,K42,K43,K44,K45,K46,K47,K48,K49,K50,K51,K52,K53,K54,K55,K56,K57
348,04260803103,4,26,8,31,3,2,1,3,2,5,15.0,3.0,7,2,2.0,,,         2,        11,1,,5.0,2.0,2,1.0,2.0,,,,,1,,,,,,,2001.0,2.0,2.0,,-888.0,6.0,2.0,5.0,0.0,1.0,3.0,1,2,3,2,,6.0,2,2,,,,,
349,07500601802,7,50,6,18,2,2,1,1,1,3,7.0,5.0,14,10,13.0,,,         3,        11,2,7.0,,0.0,2,1.0,,,,,,2,1.0,9.0,36.0,9.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,5.0,1,2,,,,,
350,14720100211,14,72,1,2,11,1,4,4,1,5,8.0,4.0,12,76,275.0,,,         3,        11,1,,1.0,19.0,1,2.0,1.0,3.0,1.0,30.0,2.0,2,1.0,3.0,195.0,-888.0,1.0,1.0,,,,,,,,,,,,2,1,2,2,,1.0,2,2,,,,,
351,07580601309,7,58,6,13,9,2,13,4,2,6,8.0,9.0,15,5,5.0,,,         2,        11,2,6.0,,0.0,2,1.0,,,,,,2,1.0,9.0,50.0,10.0,3.0,2.0,,,,,,,,,,,,2,2,2,2,,,2,2,,,,,
352,07520301304,7,52,3,13,4,2,18,1,1,6,8.0,1.0,15,10,45.0,,,         3,        11,2,7.0,,0.0,2,1.0,,,,,,2,1.0,9.0,36.0,9.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,5.0,2,2,,,,,
353,03180100101,3,18,1,1,1,1,1,2,2,5,3.0,2.0,7,2,10.0,,,         2,        11,1,,1.0,24.0,2,2.0,1.0,4.0,1.0,45.0,2.0,2,1.0,1.0,-888.0,0.6,1.0,1.0,,,,,,,,,,,,2,2,3,2,,6.0,2,2,,,,,
354,04240101704,4,24,1,17,4,2,1,2,2,5,15.0,6.0,7,2,20.0,,,         2,        11,2,7.0,,888.0,2,888.0,,,,,,2,4.0,8.0,-888.0,-888.0,3.0,2.0,,,,,,,,,,,,2,2,3,2,,7.0,2,2,,,,,
355,04280203203,4,28,2,32,3,2,4,3,1,2,555.0,3.0,12,20,25.0,,,         2,        11,2,1.0,,888.0,2,888.0,,,,,,2,555.0,555.0,450.0,15.0,555.0,2.0,,,,,,,,,,,,2,2,3,2,,555.0,2,2,,,,,
356,03121000302,3,12,10,3,2,1,1,2,1,6,8.0,3.0,16,37,28.0,,,         2,        11,1,,1.0,8.0,2,2.0,1.0,4.0,0.0,45.0,2.0,2,1.0,1.0,152.0,0.6,1.0,1.0,,,,,,,,,,,,2,2,3,2,,3.0,2,2,,,,,
357,04291500905,4,29,15,9,5,2,5,3,1,6,8.0,4.0,12,3,5.0,,,         2,        11,1,,1.0,5.0,1,,1.0,4.0,3.0,25.0,1.0,2,1.0,1.0,250.0,23.0,1.0,2.0,,,,,,,,,,,,2,2,1,2,,555.0,2,2,,,,,
