,HHID,R_a,R_b,R_c,R_d,R_e,R4
325,03152000705137,0.0,,,,,2
326,03152000705137,0.0,,,,,3
327,03152000705137,0.0,,,,,4
328,03160201902101,0.0,,,,,1
329,03160201902101,1.0,,,,,2
330,03160201902101,0.0,,,,,3
331,03160201902101,0.0,,,,,4
332,03160201902113,0.0,,,,,1
333,03160201902113,0.0,,,,,2
334,03160201902113,0.0,,,,,3
335,03160201902113,0.0,,,,,4
336,03160201902125,0.0,0.0,,,,1
337,03160201902125,1.0,2.0,,,,2
338,03160201902125,0.0,0.0,,,,3
339,03160201902125,0.0,0.0,,,,4
340,03160201902137,0.0,,0.0,,,1
341,03160201902137,0.0,,0.0,,,2
342,03160201902137,0.0,,0.0,,,3
343,03160201902137,0.0,,0.0,,,4
344,03160204005008,0.0,,0.0,,,1
345,03160204005008,1.0,,1.0,,,2
346,03160204005008,0.0,,0.0,,,3
347,03160204005008,0.0,,0.0,,,4
348,03160204005022,0.0,,,,,1
349,03160204005022,1.0,,,,,2
350,03160204005022,0.0,,,,,3
351,03160204005022,0.0,,,,,4
352,03160204005036,0.0,0.0,,,,1
353,03160204005036,1.0,1.0,,,,2
354,03160204005036,1.0,0.0,,,,3
355,03160204005036,0.0,0.0,,,,4
356,03160204005050,0.0,0.0,,,,1
357,03160204005050,0.0,0.0,,,,2
358,03160204005050,0.0,0.0,,,,3
359,03160204005050,0.0,0.0,,,,4
360,03160500103023,0.0,,,,,1
361,03160500103023,0.0,,,,,2
362,03160500103023,0.0,,,,,3
363,03160500103023,0.0,,,,,4
364,03160500103062,0.0,,,,,1
365,03160500103062,0.0,,,,,2
366,03160500103062,0.0,,,,,3
367,03160500103062,0.0,,,,,4
368,03160500103101,0.0,,,,,1
369,03160500103101,0.0,,,,,2
370,03160500103101,0.0,,,,,3
371,03160500103101,0.0,,,,,4
372,03160600803010,0.0,,,,,1
373,03160600803010,0.0,,,,,2
374,03160600803010,0.0,,,,,3
375,03160600803010,0.0,,,,,4
376,03160600803026,0.0,,,,,1
377,03160600803026,1.0,,,,,2
378,03160600803026,0.0,,,,,3
379,03160600803026,0.0,,,,,4
380,03160600803042,1.0,1.0,0.0,0.0,,1
381,03160600803042,0.0,0.0,0.0,0.0,,2
382,03160600803042,0.0,0.0,0.0,0.0,,3
383,03160600803042,0.0,0.0,0.0,0.0,,4
384,03160600803058,1.0,0.0,,,,1
385,03160600803058,0.0,0.0,,,,2
386,03160600803058,0.0,0.0,,,,3
387,03160600803058,0.0,0.0,,,,4
388,03161500214051,0.0,,,,,1
389,03161500214051,0.0,,,,,2
390,03161500214051,0.0,,,,,3
391,03161500214051,0.0,,,,,4
392,03161500214106,0.0,,,,,1
393,03161500214106,0.0,,,,,2
394,03161500214106,0.0,,,,,3
395,03161500214106,0.0,,,,,4
396,03170400206185,,,0.0,,,1
397,03170400206185,,,1.0,,,2
398,03170400206185,,,0.0,,,3
399,03170400206185,,,0.0,,,4
400,03170401804091,,,1.0,,,1
401,03170401804091,,,1.0,,,2
402,03170401804091,,,1.0,,,3
403,03170401804091,,,1.0,,,4
404,03170401804115,0.0,,,,,1
405,03170401804115,0.0,,,,,2
406,03170401804115,0.0,,,,,3
407,03170401804115,0.0,,,,,4
408,03170401804163,0.0,,,,,1
409,03170401804163,0.0,,,,,2
410,03170401804163,0.0,,,,,3
411,03170401804163,0.0,,,,,4
412,03170401804187,0.0,,0.0,,,1
413,03170401804187,1.0,,1.0,,,2
414,03170401804187,0.0,,0.0,,,3
415,03170401804187,0.0,,0.0,,,4
416,03170401804235,0.0,,,,,1
417,03170401804235,1.0,,,,,2
418,03170401804235,0.0,,,,,3
419,03170401804235,0.0,,,,,4
420,03170403702090,0.0,,,,,1
421,03170403702090,0.0,,,,,2
422,03170403702090,0.0,,,,,3
423,03170403702090,0.0,,,,,4
424,03170403702150,,0.0,,0.0,,1
425,03170403702150,,0.0,,0.0,,2
426,03170403702150,,0.0,,0.0,,3
427,03170403702150,,0.0,,0.0,,4
428,03170403702190,,,0.0,,,1
429,03170403702190,,,0.0,,,2
430,03170403702190,,,0.0,,,3
431,03170403702190,,,0.0,,,4
432,03170500110045,,,1.0,,,1
433,03170500110045,,,1.0,,,2
434,03170500110045,,,1.0,,,3
435,03170500110045,,,0.0,,,4
436,03170500110180,0.0,,,,,1
437,03170500110180,1.0,,,,,2
438,03170500110180,1.0,,,,,3
439,03170500110180,0.0,,,,,4
440,03170601005004,0.0,,,,,1
441,03170601005004,0.0,,,,,2
442,03170601005004,0.0,,,,,3
443,03170601005004,0.0,,,,,4
444,03170601005016,0.0,,,,,1
445,03170601005016,0.0,,,,,2
446,03170601005016,0.0,,,,,3
447,03170601005016,0.0,,,,,4
448,03170601005028,0.0,,,,,1
449,03170601005028,0.0,,,,,2
450,03170601005028,0.0,,,,,3
451,03170601005028,0.0,,,,,4
452,03180201302109,,,,,1.0,1
453,03180201302109,,,,,1.0,2
454,03180201302109,,,,,2.0,3
455,03180201302109,,,,,0.0,4
456,03180302503083,,,,,0.0,1
457,03180302503083,,,,,0.0,2
458,03180302503083,,,,,0.0,3
