,HHID,HI_1,HI_2,HI_3,HI_4,HI_5,HI_6,HI_7new,HI_14,eaid,A0,zone_csa,wereda_name
112,01030600403072,1,3,6,4,3,2,72,11/02/17,1030688800403.0,5,3,KLITE AWLALO
113,01030600403092,1,3,6,4,3,2,92,11/02/17,1030688800403.0,4,3,KLITE AWLALO
114,01030600403116,1,3,6,4,3,2,116,11/02/17,1030688800403.0,5,3,KLITE AWLALO
115,01030600403138,1,3,6,4,3,2,138,11/02/17,1030688800403.0,4,3,KLITE AWLALO
116,01030600403164,1,3,6,4,3,2,164,11/02/17,1030688800403.0,4,3,KLITE AWLALO
117,01030600403173,1,3,6,4,3,2,173,11/02/17,1030688800403.0,5,3,KLITE AWLALO
118,01030600403183,1,3,6,4,3,2,183,11/02/17,1030688800403.0,4,3,KLITE AWLALO
119,01030600403185,1,3,6,4,3,2,185,11/02/17,1030688800403.0,5,3,KLITE AWLALO
120,01030800402002,1,3,8,4,2,1,2,28/01/17,1030810100402.0,1,3,ADIGIRAT TOWN WOREDA
121,01030800402015,1,3,8,4,2,1,15,25/01/17,1030810100402.0,4,3,ADIGIRAT TOWN WOREDA
122,01030800402028,1,3,8,4,2,1,28,27/01/17,1030810100402.0,4,3,ADIGIRAT TOWN WOREDA
123,01030800402041,1,3,8,4,2,1,41,27/01/17,1030810100402.0,2,3,ADIGIRAT TOWN WOREDA
124,01030800402054,1,3,8,4,2,1,54,28/01/17,1030810100402.0,4,3,ADIGIRAT TOWN WOREDA
125,01030800402067,1,3,8,4,2,1,67,27/01/17,1030810100402.0,5,3,ADIGIRAT TOWN WOREDA
126,01030800402080,1,3,8,4,2,1,80,27/01/17,1030810100402.0,1,3,ADIGIRAT TOWN WOREDA
127,01030800402093,1,3,8,4,2,1,93,28/01/17,1030810100402.0,2,3,ADIGIRAT TOWN WOREDA
128,01030800402106,1,3,8,4,2,1,106,27/01/17,1030810100402.0,5,3,ADIGIRAT TOWN WOREDA
129,01030800402119,1,3,8,4,2,1,119,28/01/17,1030810100402.0,1,3,ADIGIRAT TOWN WOREDA
130,01030800402132,1,3,8,4,2,1,132,26/01/17,1030810100402.0,4,3,ADIGIRAT TOWN WOREDA
131,01030800402145,1,3,8,4,2,1,145,26/01/17,1030810100402.0,6,3,ADIGIRAT TOWN WOREDA
132,01041100201005,1,4,11,2,1,1,5,15/02/17,1041110100201.0,2,4,ALAMATA TOWN WOREDA
133,01041100201020,1,4,11,2,1,1,20,17/02/17,1041110100201.0,3,4,ALAMATA TOWN WOREDA
134,01041100201035,1,4,11,2,1,1,35,15/02/17,1041110100201.0,7,4,ALAMATA TOWN WOREDA
135,01041100201050,1,4,11,2,1,1,50,15/02/17,1041110100201.0,1,4,ALAMATA TOWN WOREDA
136,01041100201065,1,4,11,2,1,1,65,15/02/17,1041110100201.0,8,4,ALAMATA TOWN WOREDA
137,01041100201080,1,4,11,2,1,1,80,16/02/17,1041110100201.0,5,4,ALAMATA TOWN WOREDA
138,01041100201095,1,4,11,2,1,1,95,16/02/17,1041110100201.0,2,4,ALAMATA TOWN WOREDA
139,01041100201110,1,4,11,2,1,1,110,16/02/17,1041110100201.0,3,4,ALAMATA TOWN WOREDA
140,01041100201125,1,4,11,2,1,1,125,16/02/17,1041110100201.0,3,4,ALAMATA TOWN WOREDA
141,01041100201140,1,4,11,2,1,1,140,17/02/17,1041110100201.0,3,4,ALAMATA TOWN WOREDA
142,01041100201155,1,4,11,2,1,1,155,17/02/17,1041110100201.0,3,4,ALAMATA TOWN WOREDA
143,01041100201170,1,4,11,2,1,1,170,17/02/17,1041110100201.0,6,4,ALAMATA TOWN WOREDA
144,01050100110004,1,5,1,1,10,1,4,10/02/17,1050130100110.0,6,5,QAFTA HUMERA
145,01050100110006,1,5,1,1,10,1,6,11/02/17,1050130100110.0,3,5,QAFTA HUMERA
146,01050100110009,1,5,1,1,10,1,9,11/02/17,1050130100110.0,4,5,QAFTA HUMERA
147,01050100110013,1,5,1,1,10,1,13,10/02/17,1050130100110.0,6,5,QAFTA HUMERA
148,01050100110022,1,5,1,1,10,1,22,10/02/17,1050130100110.0,1,5,QAFTA HUMERA
149,01050100110031,1,5,1,1,10,1,31,10/02/17,1050130100110.0,5,5,QAFTA HUMERA
150,01050100110040,1,5,1,1,10,1,40,10/02/17,1050130100110.0,5,5,QAFTA HUMERA
151,01050100110058,1,5,1,1,10,1,58,11/02/17,1050130100110.0,4,5,QAFTA HUMERA
152,01050100110067,1,5,1,1,10,1,67,11/02/17,1050130100110.0,4,5,QAFTA HUMERA
153,01050100110085,1,5,1,1,10,1,85,12/02/17,1050130100110.0,5,5,QAFTA HUMERA
154,01050100110094,1,5,1,1,10,1,94,12/02/17,1050130100110.0,6,5,QAFTA HUMERA
155,01050100110103,1,5,1,1,10,1,103,12/02/17,1050130100110.0,2,5,QAFTA HUMERA
156,01050101108006,1,5,1,11,8,2,6,28/02/17,1050188801108.0,4,5,QAFTA HUMERA
157,01050101108019,1,5,1,11,8,2,19,28/02/17,1050188801108.0,4,5,QAFTA HUMERA
