,HHID,G2,G3,G4,G5,G6,G7,G8,G9,G10
475,01021200418123,1,2,,,,,,,
476,01021200418123,2,2,,,,,,,
477,01021200418123,3,2,,,,,,,
478,01021200418123,4,2,,,,,,,
479,01021200418123,5,2,,,,,,,
480,01030300103004,1,2,,,,,,,
481,01030300103004,2,2,,,,,,,
482,01030300103004,3,2,,,,,,,
483,01030300103004,4,2,,,,,,,
484,01030300103004,5,2,,,,,,,
485,01030300103017,1,2,,,,,,,
486,01030300103017,2,2,,,,,,,
487,01030300103017,3,2,,,,,,,
488,01030300103017,4,2,,,,,,,
489,01030300103017,5,2,,,,,,,
490,01030300103030,1,2,,,,,,,
491,01030300103030,2,2,,,,,,,
492,01030300103030,3,2,,,,,,,
493,01030300103030,4,2,,,,,,,
494,01030300103030,5,2,,,,,,,
495,01030300103043,1,2,,,,,,,
496,01030300103043,2,2,,,,,,,
497,01030300103043,3,2,,,,,,,
498,01030300103043,4,2,,,,,,,
499,01030300103043,5,2,,,,,,,
500,01030300103056,1,2,,,,,,,
501,01030300103056,2,2,,,,,,,
502,01030300103056,3,2,,,,,,,
503,01030300103056,4,2,,,,,,,
504,01030300103056,5,2,,,,,,,
505,01030300103069,1,2,,,,,,,
506,01030300103069,2,2,,,,,,,
507,01030300103069,3,2,,,,,,,
508,01030300103069,4,2,,,,,,,
509,01030300103069,5,2,,,,,,,
510,01030300103082,1,2,,,,,,,
511,01030300103082,2,2,,,,,,,
512,01030300103082,3,2,,,,,,,
513,01030300103082,4,2,,,,,,,
514,01030300103082,5,2,,,,,,,
515,01030300103095,1,2,,,,,,,
516,01030300103095,2,2,,,,,,,
517,01030300103095,3,2,,,,,,,
518,01030300103095,4,2,,,,,,,
519,01030300103095,5,2,,,,,,,
520,01030300103108,1,2,,,,,,,
521,01030300103108,2,2,,,,,,,
522,01030300103108,3,2,,,,,,,
523,01030300103108,4,2,,,,,,,
524,01030300103108,5,2,,,,,,,
525,01030300103121,1,2,,,,,,,
526,01030300103121,2,2,,,,,,,
527,01030300103121,3,2,,,,,,,
528,01030300103121,4,2,,,,,,,
529,01030300103121,5,2,,,,,,,
530,01030300103134,1,2,,,,,,,
531,01030300103134,2,2,,,,,,,
532,01030300103134,3,2,,,,,,,
533,01030300103134,4,2,,,,,,,
534,01030300103134,5,2,,,,,,,
535,01030300103147,1,2,,,,,,,
536,01030300103147,2,2,,,,,,,
537,01030300103147,3,2,,,,,,,
538,01030300103147,4,2,,,,,,,
539,01030300103147,5,2,,,,,,,
540,01030600403012,1,2,,,,,,,
541,01030600403012,2,1,1.0,35.0,4.0,3.0,6.0,60.0,2.0
542,01030600403012,3,2,,,,,,,
543,01030600403012,4,2,,,,,,,
544,01030600403012,5,2,,,,,,,
545,01030600403017,1,2,,,,,,,
546,01030600403017,2,1,1.0,50.0,3.0,3.0,4.0,36.0,2.0
547,01030600403017,3,2,,,,,,,
548,01030600403017,4,2,,,,,,,
549,01030600403017,5,2,,,,,,,
550,01030600403036,1,2,,,,,,,
551,01030600403036,2,1,1.0,45.0,8.0,4.0,8.0,88.0,2.0
552,01030600403036,3,2,,,,,,,
553,01030600403036,4,2,,,,,,,
554,01030600403036,5,2,,,,,,,
555,01030600403049,1,2,,,,,,,
556,01030600403049,2,1,1.0,70.0,10.0,4.0,6.0,60.0,2.0
557,01030600403049,3,2,,,,,,,
558,01030600403049,4,2,,,,,,,
559,01030600403049,5,2,,,,,,,
560,01030600403072,1,2,,,,,,,
561,01030600403072,2,2,,,,,,,
562,01030600403072,3,2,,,,,,,
563,01030600403072,4,2,,,,,,,
564,01030600403072,5,2,,,,,,,
565,01030600403092,1,2,,,,,,,
566,01030600403092,2,1,1.0,50.0,8.0,3.0,2.0,20.0,2.0
567,01030600403092,3,2,,,,,,,
568,01030600403092,4,2,,,,,,,
569,01030600403092,5,2,,,,,,,
570,01030600403116,1,2,,,,,,,
571,01030600403116,2,2,,,,,,,
572,01030600403116,3,2,,,,,,,
573,01030600403116,4,2,,,,,,,
574,01030600403116,5,2,,,,,,,
575,01030600403138,1,2,,,,,,,
576,01030600403138,2,1,1.0,100.0,6.0,5.0,6.0,75.0,2.0
577,01030600403138,3,2,,,,,,,
578,01030600403138,4,2,,,,,,,
579,01030600403138,5,2,,,,,,,
580,01030600403164,1,2,,,,,,,
581,01030600403164,2,2,,,,,,,
582,01030600403164,3,2,,,,,,,
583,01030600403164,4,2,,,,,,,
584,01030600403164,5,2,,,,,,,
585,01030600403173,1,2,,,,,,,
586,01030600403173,2,2,,,,,,,
587,01030600403173,3,2,,,,,,,
588,01030600403173,4,2,,,,,,,
589,01030600403173,5,2,,,,,,,
590,01030600403183,1,2,,,,,,,
591,01030600403183,2,2,,,,,,,
592,01030600403183,3,2,,,,,,,
593,01030600403183,4,2,,,,,,,
594,01030600403183,5,2,,,,,,,
595,01030600403185,1,2,,,,,,,
596,01030600403185,2,2,,,,,,,
597,01030600403185,3,2,,,,,,,
598,01030600403185,4,2,,,,,,,
599,01030600403185,5,2,,,,,,,
600,01030800402002,1,2,,,,,,,
601,01030800402002,2,2,,,,,,,
602,01030800402002,3,2,,,,,,,
603,01030800402002,4,2,,,,,,,
604,01030800402002,5,2,,,,,,,
605,01030800402015,1,2,,,,,,,
606,01030800402015,2,2,,,,,,,
607,01030800402015,3,2,,,,,,,
608,01030800402015,4,2,,,,,,,
609,01030800402015,5,2,,,,,,,
610,01030800402028,1,2,,,,,,,
611,01030800402028,2,2,,,,,,,
612,01030800402028,3,2,,,,,,,
613,01030800402028,4,2,,,,,,,
614,01030800402028,5,2,,,,,,,
615,01030800402041,1,2,,,,,,,
616,01030800402041,2,2,,,,,,,
617,01030800402041,3,2,,,,,,,
618,01030800402041,4,2,,,,,,,
619,01030800402041,5,2,,,,,,,
620,01030800402054,1,2,,,,,,,
621,01030800402054,2,2,,,,,,,
622,01030800402054,3,2,,,,,,,
623,01030800402054,4,2,,,,,,,
624,01030800402054,5,2,,,,,,,
625,01030800402067,1,2,,,,,,,
626,01030800402067,2,2,,,,,,,
627,01030800402067,3,2,,,,,,,
628,01030800402067,4,2,,,,,,,
629,01030800402067,5,2,,,,,,,
630,01030800402080,1,2,,,,,,,
631,01030800402080,2,2,,,,,,,
632,01030800402080,3,2,,,,,,,
633,01030800402080,4,2,,,,,,,
634,01030800402080,5,2,,,,,,,
635,01030800402093,1,2,,,,,,,
636,01030800402093,2,2,,,,,,,
637,01030800402093,3,2,,,,,,,
638,01030800402093,4,2,,,,,,,
639,01030800402093,5,2,,,,,,,
640,01030800402106,1,2,,,,,,,
641,01030800402106,2,2,,,,,,,
642,01030800402106,3,2,,,,,,,
643,01030800402106,4,2,,,,,,,
644,01030800402106,5,2,,,,,,,
645,01030800402119,1,2,,,,,,,
646,01030800402119,2,2,,,,,,,
647,01030800402119,3,2,,,,,,,
648,01030800402119,4,2,,,,,,,
649,01030800402119,5,2,,,,,,,
650,01030800402132,1,2,,,,,,,
651,01030800402132,2,2,,,,,,,
652,01030800402132,3,2,,,,,,,
653,01030800402132,4,2,,,,,,,
654,01030800402132,5,2,,,,,,,
655,01030800402145,1,2,,,,,,,
656,01030800402145,2,2,,,,,,,
657,01030800402145,3,2,,,,,,,
658,01030800402145,4,2,,,,,,,
659,01030800402145,5,2,,,,,,,
660,01041100201005,1,2,,,,,,,
661,01041100201005,2,2,,,,,,,
662,01041100201005,3,2,,,,,,,
663,01041100201005,4,2,,,,,,,
664,01041100201005,5,2,,,,,,,
665,01041100201020,1,2,,,,,,,
666,01041100201020,2,2,,,,,,,
667,01041100201020,3,2,,,,,,,
668,01041100201020,4,2,,,,,,,
669,01041100201020,5,2,,,,,,,
670,01041100201035,1,2,,,,,,,
671,01041100201035,2,2,,,,,,,
672,01041100201035,3,2,,,,,,,
673,01041100201035,4,2,,,,,,,
674,01041100201035,5,2,,,,,,,
675,01041100201050,1,2,,,,,,,
676,01041100201050,2,2,,,,,,,
677,01041100201050,3,2,,,,,,,
678,01041100201050,4,2,,,,,,,
679,01041100201050,5,2,,,,,,,
680,01041100201065,1,2,,,,,,,
681,01041100201065,2,2,,,,,,,
682,01041100201065,3,2,,,,,,,
